ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:05:33 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       2.34463
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   3.165"	" 2,   2.448"	" 3,   2.210"	" 4,   2.875"	" 5,   2.345"	
  3.27648E+002	  2.05448E-002	  5.51327E-002	  6.31129E-003	  3.57920E-003	  1.54136E-002	  2.22874E-002	
  3.60416E+002	  1.98356E-002	  5.32910E-002	  6.43833E-003	  4.61260E-003	  1.35248E-002	  2.13115E-002	
  3.93184E+002	  1.86526E-002	  5.12125E-002	  4.38554E-003	  4.57070E-003	  1.41204E-002	  1.89740E-002	
  4.25952E+002	  1.76898E-002	  4.81718E-002	  5.81053E-003	  2.68754E-003	  1.21909E-002	  1.95882E-002	
  4.58720E+002	  1.75692E-002	  4.93834E-002	  3.50760E-003	  2.17585E-003	  1.21923E-002	  2.05867E-002	
  4.91488E+002	  1.78541E-002	  4.84195E-002	  3.46580E-003	  4.75109E-003	  1.36297E-002	  1.90044E-002	
  5.24256E+002	  1.13704E-002	  2.62784E-002	  7.51975E-003	  4.23678E-004	  7.76225E-003	  1.48677E-002	
  5.89792E+002	  1.15601E-002	  2.76711E-002	  7.81984E-003	  2.27769E-003	  7.45802E-003	  1.25736E-002	
  6.55328E+002	  9.74691E-003	  2.60265E-002	  4.85901E-003	  1.91943E-003	  6.23779E-003	  9.69185E-003	
  7.20864E+002	  9.23784E-003	  2.62396E-002	  3.38697E-003	  2.90434E-003	  6.77925E-003	  6.87906E-003	
  7.86400E+002	  8.37071E-003	  2.93096E-002	  3.15029E-003	  2.27913E-003	  4.24367E-003	  2.87083E-003	
  8.51936E+002	  7.95916E-003	  2.85067E-002	  3.07358E-003	  3.09651E-003	  1.69854E-003	  3.42050E-003	
  9.17472E+002	  5.67006E-003	  3.03168E-002	  9.40141E-004	  1.72246E-003	 -3.64283E-003	 -9.86246E-004	
  9.83008E+002	  5.47395E-003	  2.97773E-002	 -1.00249E-003	  3.54597E-003	 -2.89405E-003	 -2.05696E-003	
  1.04854E+003	 -2.78364E-003	 -4.64223E-004	 -1.96803E-003	  1.59045E-003	 -3.63198E-003	 -9.44445E-003	
  1.17962E+003	 -1.23332E-003	  9.36484E-003	  1.31610E-003	 -1.72001E-004	 -5.73419E-003	 -1.09413E-002	
  1.31069E+003	 -5.52283E-004	  1.64882E-002	  1.86086E-003	 -8.51653E-005	 -6.64859E-003	 -1.43768E-002	
  1.44176E+003	  2.88987E-004	  1.96992E-002	  3.88302E-003	  6.05408E-004	 -6.58067E-003	 -1.61621E-002	
  1.57283E+003	 -1.56417E-003	  1.73430E-002	  5.29817E-003	 -4.73255E-003	 -4.95002E-003	 -2.07794E-002	
  1.70390E+003	 -2.64709E-003	  1.36102E-002	  4.62613E-003	  1.40090E-003	 -6.53506E-003	 -2.63376E-002	
  1.83498E+003	 -2.94695E-003	  1.04228E-002	  5.53586E-003	  6.08283E-004	 -5.83803E-003	 -2.54637E-002	
  1.96605E+003	 -4.73142E-003	  7.60829E-003	  4.62086E-004	 -1.17201E-003	 -7.91850E-003	 -2.26370E-002	

"Count Rate"
       0.01953	       3.08388
       0.03906	       2.77549
       0.05859	       1.64474
       0.07813	       2.10732
       0.09766	       2.26151
       0.11719	       1.90173
       0.13672	       2.51850
       0.15625	       1.90173
       0.17578	       1.79893
       0.19531	       2.82689
       0.21484	       2.10732
       0.23438	       2.51850
       0.25391	       1.38775
       0.27344	       2.26151
       0.29297	       2.21012
       0.31250	       1.74753
       0.33203	       1.69613
       0.35156	       2.36431
       0.37109	       1.54194
       0.39063	       1.85033
       0.41016	       1.95313
       0.42969	       1.90173
       0.44922	       2.46711
       0.46875	       2.05592
       0.48828	       1.69613
       0.50781	       1.54194
       0.52734	       1.49054
       0.54688	       2.10732
       0.56641	       1.23355
       0.58594	       2.15872
       0.60547	       2.10732
       0.62500	       1.43914
       0.64453	       1.79893
       0.66406	       1.64474
       0.68359	       2.26151
       0.70313	       1.59334
