ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  7.68000E-002	  9.54154E-004	  8.20867E-004	  9.28485E-004	  1.11311E-003	  1.69145E-003	  1.64975E-003	  1.60523E-003	  1.81936E-003	
  8.32000E-002	  9.34972E-004	  8.65661E-004	  8.96315E-004	  1.04294E-003	  1.64865E-003	  1.52360E-003	  1.55369E-003	  1.86866E-003	
  8.96000E-002	  9.35290E-004	  8.20019E-004	  8.84890E-004	  1.10096E-003	  1.66686E-003	  1.53587E-003	  1.62376E-003	  1.84094E-003	
  9.60000E-002	  9.56819E-004	  8.63735E-004	  9.18319E-004	  1.08840E-003	  1.60748E-003	  1.52173E-003	  1.49337E-003	  1.80733E-003	
  1.02400E-001	  9.50697E-004	  8.27382E-004	  9.32274E-004	  1.09244E-003	  1.62044E-003	  1.50469E-003	  1.49432E-003	  1.86231E-003	
  1.15200E-001	  9.09667E-004	  7.96085E-004	  8.61595E-004	  1.07132E-003	  1.61349E-003	  1.46519E-003	  1.52707E-003	  1.84821E-003	
  1.28000E-001	  9.09347E-004	  7.56222E-004	  8.95174E-004	  1.07664E-003	  1.51461E-003	  1.45062E-003	  1.45159E-003	  1.64161E-003	
  1.40800E-001	  9.09564E-004	  8.15743E-004	  8.73961E-004	  1.03899E-003	  1.50568E-003	  1.43798E-003	  1.40942E-003	  1.66965E-003	
  1.53600E-001	  9.04884E-004	  8.23435E-004	  8.41468E-004	  1.04975E-003	  1.49209E-003	  1.44166E-003	  1.38983E-003	  1.64479E-003	
  1.66400E-001	  9.13597E-004	  7.74195E-004	  8.89272E-004	  1.07732E-003	  1.49154E-003	  1.42589E-003	  1.38604E-003	  1.66269E-003	
  1.79200E-001	  8.80795E-004	  7.52281E-004	  8.58633E-004	  1.03147E-003	  1.42904E-003	  1.33424E-003	  1.30857E-003	  1.64432E-003	
  1.92000E-001	  8.96853E-004	  8.09356E-004	  8.28909E-004	  1.05230E-003	  1.39441E-003	  1.27514E-003	  1.30181E-003	  1.60629E-003	
  2.04800E-001	  8.82598E-004	  7.73479E-004	  8.20001E-004	  1.05431E-003	  1.44592E-003	  1.36518E-003	  1.36593E-003	  1.60663E-003	
  2.30400E-001	  8.76892E-004	  7.88156E-004	  8.38468E-004	  1.00405E-003	  1.42196E-003	  1.33241E-003	  1.31081E-003	  1.62265E-003	
  2.56000E-001	  8.54359E-004	  7.57377E-004	  8.01626E-004	  1.00407E-003	  1.38569E-003	  1.29851E-003	  1.30502E-003	  1.55355E-003	
  2.81600E-001	  8.49906E-004	  7.55533E-004	  7.99158E-004	  9.95026E-004	  1.37234E-003	  1.24676E-003	  1.27527E-003	  1.59498E-003	
  3.07200E-001	  8.36612E-004	  7.05595E-004	  8.07432E-004	  9.96808E-004	  1.37118E-003	  1.25292E-003	  1.30381E-003	  1.55680E-003	
  3.32800E-001	  8.33584E-004	  7.42199E-004	  7.92792E-004	  9.65760E-004	  1.34278E-003	  1.24581E-003	  1.24686E-003	  1.53567E-003	
  3.58400E-001	  8.09997E-004	  6.98259E-004	  7.63321E-004	  9.68411E-004	  1.33778E-003	  1.25788E-003	  1.23220E-003	  1.52325E-003	
  3.84000E-001	  8.31982E-004	  7.26144E-004	  7.82337E-004	  9.87466E-004	  1.31908E-003	  1.23894E-003	  1.21568E-003	  1.50260E-003	
  4.09600E-001	  7.97409E-004	  6.75283E-004	  7.51038E-004	  9.65907E-004	  1.28926E-003	  1.20718E-003	  1.19423E-003	  1.46636E-003	
  4.60800E-001	  7.63128E-004	  6.60737E-004	  7.36778E-004	  8.91868E-004	  1.26516E-003	  1.18795E-003	  1.16495E-003	  1.44260E-003	
  5.12000E-001	  7.33379E-004	  6.28696E-004	  7.07775E-004	  8.63666E-004	  1.23957E-003	  1.14562E-003	  1.12027E-003	  1.45282E-003	
  5.63200E-001	  7.23426E-004	  6.12718E-004	  6.86468E-004	  8.71093E-004	  1.16961E-003	  1.09709E-003	  1.04556E-003	  1.36617E-003	
  6.14400E-001	  7.08738E-004	  6.13430E-004	  6.67274E-004	  8.45509E-004	  1.14236E-003	  1.05690E-003	  1.05258E-003	  1.31759E-003	
