ALV-5000/E-WIN Data
Date :	"20-Dec-12"
Time :	"14:11:37"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     500.00000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"DUAL CROSS CH0"
MeanCR0 [kHz]   :	      64.63463
MeanCR1 [kHz]   :	      64.63459

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Run  4"	"Run  5"	"Run  6"	"Average(1)"	" 1,  65.455"	" 2,  66.652"	" 3,  66.025"	" 4,  66.996"	" 5,  66.167"	" 6,  64.635"	
  1.02400E-001	  8.53233E-002	  1.06876E-001	  8.11657E-002	  7.45567E-002	  8.40210E-002	  7.75350E-002	  8.77854E-002	  8.65439E-002	  1.05110E-001	  8.44120E-002	  7.89830E-002	  8.53064E-002	  7.90263E-002	  8.64251E-002	
  1.15200E-001	  8.50304E-002	  1.07055E-001	  8.14793E-002	  7.44508E-002	  8.61315E-002	  7.59838E-002	  8.50822E-002	  8.72376E-002	  1.05880E-001	  8.44904E-002	  7.52425E-002	  8.62904E-002	  8.22744E-002	  8.92481E-002	
  1.28000E-001	  8.57110E-002	  1.06876E-001	  8.29661E-002	  7.47972E-002	  8.23220E-002	  8.07196E-002	  8.65850E-002	  8.59730E-002	  1.04849E-001	  8.24660E-002	  7.72003E-002	  8.40975E-002	  8.11074E-002	  8.61179E-002	
  1.40800E-001	  8.61968E-002	  1.04891E-001	  8.05973E-002	  7.92483E-002	  8.99499E-002	  7.76451E-002	  8.48487E-002	  8.68312E-002	  1.07900E-001	  8.21709E-002	  7.77922E-002	  8.63749E-002	  8.26014E-002	  8.41481E-002	
  1.53600E-001	  8.60334E-002	  1.06098E-001	  8.07373E-002	  7.91543E-002	  8.68813E-002	  8.07802E-002	  8.25492E-002	  8.54472E-002	  1.04625E-001	  8.06337E-002	  7.54194E-002	  8.44526E-002	  8.23943E-002	  8.51582E-002	
  1.66400E-001	  8.34387E-002	  1.05905E-001	  8.07933E-002	  7.63357E-002	  8.12033E-002	  7.45013E-002	  8.18933E-002	  8.46320E-002	  1.05035E-001	  8.45140E-002	  7.54776E-002	  8.02264E-002	  7.77537E-002	  8.47852E-002	
  1.79200E-001	  8.37574E-002	  1.06106E-001	  7.85925E-002	  7.54050E-002	  8.32435E-002	  7.48818E-002	  8.43152E-002	  8.38130E-002	  1.04877E-001	  8.22852E-002	  7.25081E-002	  8.32336E-002	  8.09718E-002	  7.90026E-002	
  1.92000E-001	  8.32011E-002	  1.03497E-001	  7.82708E-002	  7.10825E-002	  8.39648E-002	  7.82620E-002	  8.41296E-002	  8.45904E-002	  1.00742E-001	  8.08572E-002	  7.71388E-002	  8.64549E-002	  7.79169E-002	  8.44331E-002	
  2.04800E-001	  8.27887E-002	  1.02947E-001	  7.92669E-002	  7.26974E-002	  8.37613E-002	  7.45328E-002	  8.35268E-002	  8.48461E-002	  1.05109E-001	  8.02262E-002	  7.52300E-002	  8.52842E-002	  7.85309E-002	  8.46963E-002	
  2.30400E-001	  8.27155E-002	  1.05839E-001	  7.83805E-002	  7.14023E-002	  8.13183E-002	  7.58637E-002	  8.34893E-002	  8.44945E-002	  1.02890E-001	  8.06803E-002	  7.79959E-002	  8.36904E-002	  7.58540E-002	  8.58564E-002	
  2.56000E-001	  8.08702E-002	  1.02491E-001	  7.69880E-002	  7.23712E-002	  7.88738E-002	  7.35955E-002	  8.09013E-002	  8.35952E-002	  1.03015E-001	  8.05292E-002	  7.51412E-002	  8.36434E-002	  7.75708E-002	  8.16709E-002	
  2.81600E-001	  8.04785E-002	  9.83796E-002	  7.85501E-002	  6.97476E-002	  8.02334E-002	  7.49438E-002	  8.10166E-002	  8.19425E-002	  1.02072E-001	  7.93963E-002	  7.14379E-002	  7.95195E-002	  7.66509E-002	  8.25789E-002	
  3.07200E-001	  7.97574E-002	  9.92836E-002	  7.70130E-002	  7.07735E-002	  7.91330E-002	  7.34006E-002	  7.89405E-002	  8.23896E-002	  1.03599E-001	  8.01013E-002	  7.21058E-002	  8.12000E-002	  7.64922E-002	  8.08388E-002	
  3.32800E-001	  7.99138E-002	  1.00624E-001	  7.55500E-002	  7.00451E-002	  8.06955E-002	  7.39098E-002	  7.86583E-002	  7.98579E-002	  1.00949E-001	  7.91163E-002	  6.95714E-002	  7.86671E-002	  7.13353E-002	  7.95078E-002	
  3.58400E-001	  7.86837E-002	  9.80256E-002	  7.47479E-002	  6.79767E-002	  8.01404E-002	  7.26625E-002	  7.85490E-002	  8.00069E-002	  9.94264E-002	  7.74669E-002	  7.14752E-002	  7.97595E-002	  7.18389E-002	  8.00742E-002	
  3.84000E-001	  7.72079E-002	  9.74006E-002	  7.51074E-002	  6.64734E-002	  7.66377E-002	  7.05596E-002	  7.70687E-002	  7.85403E-002	  9.60396E-002	  7.49084E-002	  7.18757E-002	  7.78930E-002	  7.16745E-002	  7.88503E-002	
  4.09600E-001	  7.72961E-002	  1.00295E-001	  7.37224E-002	  6.79779E-002	  7.50701E-002	  7.09210E-002	  7.57904E-002	  7.80117E-002	  9.65430E-002	  7.37244E-002	  7.15281E-002	  7.73892E-002	  7.02544E-002	  7.86310E-002	
  4.60800E-001	  7.57183E-002	  9.57995E-002	  7.24525E-002	  6.52358E-002	  7.69904E-002	  6.95043E-002	  7.43275E-002	  7.67395E-002	  9.50376E-002	  7.51753E-002	  7.10156E-002	  7.48767E-002	  6.91805E-002	  7.51514E-002	
  5.12000E-001	  7.54946E-002	  9.63194E-002	  7.25475E-002	  6.60420E-002	  7.61385E-002	  6.93216E-002	  7.25988E-002	  7.54344E-002	  9.48993E-002	  7.33754E-002	  6.67017E-002	  7.39804E-002	  6.82403E-002	  7.54092E-002	
  5.63200E-001	  7.32577E-002	  9.45833E-002	  7.18672E-002	  6.16628E-002	  7.48132E-002	  6.65778E-002	  7.00417E-002	  7.43203E-002	  9.34476E-002	  7.01254E-002	  6.68039E-002	  7.43623E-002	  6.57282E-002	  7.54545E-002	
  6.14400E-001	  7.29114E-002	  9.33353E-002	  7.10460E-002	  6.12907E-002	  7.36067E-002	  6.65547E-002	  7.16349E-002	  7.34811E-002	  9.04956E-002	  7.06102E-002	  6.49791E-002	  7.28182E-002	  6.87621E-002	  7.32217E-002	
  6.65600E-001	  7.11633E-002	  9.14040E-002	  6.90072E-002	  6.14915E-002	  7.12489E-002	  6.47505E-002	  6.90778E-002	  7.22040E-002	  9.09926E-002	  7.11472E-002	  6.24865E-002	  7.19483E-002	  6.62315E-002	  7.04182E-002	
  7.16800E-001	  6.99032E-002	  9.14806E-002	  6.74119E-002	  6.04218E-002	  6.92352E-002	  6.42829E-002	  6.65870E-002	  7.15428E-002	  9.14251E-002	  6.90901E-002	  6.32489E-002	  6.94638E-002	  6.58731E-002	  7.01559E-002	
  7.68000E-001	  6.98192E-002	  9.16738E-002	  6.66416E-002	  5.90096E-002	  6.93227E-002	  6.38114E-002	  6.84559E-002	  6.90585E-002	  8.66351E-002	  6.70109E-002	  6.06360E-002	  6.80733E-002	  6.43634E-002	  6.76325E-002	
