ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"12:58:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     100.35390
MeanCR1 [kHz]   :	      96.75777

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  99.876"	" 2,  98.214"	" 3,  99.981"	" 4, 101.263"	" 5, 100.263"	" 6, 100.354"	
  2.45760E+000	  1.64982E-002	  1.51368E-002	  1.61409E-002	  1.62009E-002	  1.54133E-002	  1.62307E-002	  1.98665E-002	
  2.66240E+000	  1.52035E-002	  1.41447E-002	  1.43613E-002	  1.45907E-002	  1.43314E-002	  1.55726E-002	  1.82204E-002	
  2.86720E+000	  1.41872E-002	  1.35475E-002	  1.23757E-002	  1.32824E-002	  1.34860E-002	  1.56960E-002	  1.67356E-002	
  3.07200E+000	  1.44066E-002	  1.33873E-002	  1.35815E-002	  1.42350E-002	  1.40067E-002	  1.44994E-002	  1.67297E-002	
  3.22560E+000	  1.45711E-002	  1.32671E-002	  1.44859E-002	  1.49494E-002	  1.43972E-002	  1.36020E-002	  1.67252E-002	
  3.63520E+000	  1.28057E-002	  1.20040E-002	  1.24389E-002	  1.31930E-002	  1.27783E-002	  1.18989E-002	  1.45207E-002	
  4.04480E+000	  1.14486E-002	  1.05007E-002	  1.09954E-002	  1.24653E-002	  1.13005E-002	  1.03130E-002	  1.31170E-002	
  4.45440E+000	  1.06910E-002	  1.02933E-002	  9.90005E-003	  1.12906E-002	  1.01081E-002	  9.90547E-003	  1.26484E-002	
  4.86400E+000	  1.01519E-002	  1.01942E-002	  8.74889E-003	  1.13231E-002	  9.21724E-003	  9.43957E-003	  1.19882E-002	
  5.27360E+000	  8.99120E-003	  8.64809E-003	  7.26300E-003	  1.04267E-002	  7.85096E-003	  8.36670E-003	  1.13918E-002	
  5.68320E+000	  8.36159E-003	  7.94291E-003	  6.31769E-003	  1.08131E-002	  6.70389E-003	  7.78641E-003	  1.06056E-002	
  6.09280E+000	  7.63819E-003	  7.06550E-003	  5.71622E-003	  1.02240E-002	  6.17961E-003	  7.48346E-003	  9.16033E-003	
  6.50240E+000	  7.18169E-003	  6.22446E-003	  6.04436E-003	  9.50776E-003	  5.79430E-003	  7.81790E-003	  7.70136E-003	
  7.32160E+000	  6.38803E-003	  4.98163E-003	  6.57619E-003	  7.78960E-003	  5.52318E-003	  6.30156E-003	  7.15601E-003	
  8.14080E+000	  6.04725E-003	  5.17986E-003	  5.71791E-003	  5.98499E-003	  6.41282E-003	  5.34140E-003	  7.64651E-003	
  8.96000E+000	  5.63129E-003	  4.04027E-003	  5.76131E-003	  5.25603E-003	  6.65275E-003	  4.22553E-003	  7.85185E-003	
  9.77920E+000	  5.10692E-003	  3.59100E-003	  5.71028E-003	  5.40874E-003	  5.14864E-003	  3.98419E-003	  6.79867E-003	
  1.05984E+001	  4.61300E-003	  3.82099E-003	  5.26398E-003	  3.96460E-003	  4.80564E-003	  4.15465E-003	  5.66814E-003	
  1.14176E+001	  4.06303E-003	  3.89130E-003	  4.77794E-003	  3.95408E-003	  4.92040E-003	  2.48171E-003	  4.35278E-003	
  1.22368E+001	  3.70171E-003	  3.87983E-003	  3.85805E-003	  4.17832E-003	  4.10282E-003	  2.20713E-003	  3.98411E-003	
  1.30560E+001	  3.07568E-003	  2.73367E-003	  2.31680E-003	  3.87099E-003	  3.29199E-003	  2.22446E-003	  4.01620E-003	
  1.46944E+001	  2.06465E-003	  9.33339E-004	  1.95713E-003	  2.92267E-003	  1.61562E-003	  1.28295E-003	  3.67621E-003	
  1.63328E+001	  1.35202E-003	  2.86132E-004	  8.07037E-004	  3.52383E-003	  7.94221E-004	 -6.01855E-005	  2.76110E-003	
