ALV-5000/E-WIN Data
Date :	"20-Jan-09"
Time :	"11:02:15"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      18.43670
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  18.014"	" 2,  18.126"	" 3,  18.186"	" 4,  18.347"	" 5,  18.251"	" 6,  18.437"	
  1.53600E-001	  2.78338E-002	  2.42122E-002	  2.67482E-002	  2.97339E-002	  2.88247E-002	  3.47442E-002	  2.27394E-002	
  1.66400E-001	  2.25267E-002	  2.21657E-002	  2.35195E-002	  1.53134E-002	  2.46152E-002	  2.62589E-002	  2.32873E-002	
  1.79200E-001	  2.30207E-002	  2.55349E-002	  2.02909E-002	  1.92610E-002	  2.62326E-002	  3.00031E-002	  1.68017E-002	
  1.92000E-001	  2.23005E-002	  1.21080E-002	  1.30262E-002	  2.63914E-002	  2.62086E-002	  3.22156E-002	  2.38534E-002	
  2.04800E-001	  2.14348E-002	  1.75807E-002	  1.68463E-002	  2.13334E-002	  2.48985E-002	  2.23492E-002	  2.56009E-002	
  2.30400E-001	  1.95992E-002	  1.60150E-002	  2.13812E-002	  1.97975E-002	  2.22406E-002	  1.54306E-002	  2.27304E-002	
  2.56000E-001	  1.52763E-002	  1.81673E-002	  1.67724E-002	  1.18043E-002	  1.90169E-002	  1.29391E-002	  1.29578E-002	
  2.81600E-001	  1.66612E-002	  2.16740E-002	  1.30878E-002	  1.64680E-002	  1.82110E-002	  1.53705E-002	  1.51556E-002	
  3.07200E-001	  1.34980E-002	  1.16214E-002	  1.64338E-002	  1.34446E-002	  9.63462E-003	  1.39180E-002	  1.59355E-002	
  3.32800E-001	  1.16281E-002	  9.63128E-003	  1.18620E-002	  7.86280E-003	  9.83340E-003	  1.53103E-002	  1.52685E-002	
  3.58400E-001	  1.21318E-002	  1.43743E-002	  7.51860E-003	  1.31630E-002	  1.23537E-002	  1.38880E-002	  1.14934E-002	
  3.84000E-001	  1.11417E-002	  9.02559E-003	  1.16591E-002	  9.52754E-003	  1.58236E-002	  1.24534E-002	  8.36089E-003	
  4.09600E-001	  1.05035E-002	  9.59102E-003	  1.09472E-002	  8.91520E-003	  1.41631E-002	  1.02414E-002	  9.16291E-003	
  4.60800E-001	  1.00065E-002	  8.66149E-003	  8.13794E-003	  1.29218E-002	  7.89590E-003	  1.18769E-002	  1.05450E-002	
  5.12000E-001	  4.24983E-003	  3.28443E-003	  4.72103E-004	  6.40014E-003	  1.43078E-003	  4.29594E-003	  9.61559E-003	
  5.63200E-001	  6.65688E-003	  9.56069E-003	  7.91650E-003	  4.38134E-003	  8.13582E-003	  2.71240E-004	  9.67571E-003	
  6.14400E-001	  4.06290E-003	  5.85510E-003	  3.00521E-003	  3.86159E-004	  5.03904E-003	  1.75544E-003	  8.33643E-003	
  6.65600E-001	  4.99724E-003	  7.32023E-003	  3.79398E-003	  4.82753E-003	  3.08954E-003	  5.08777E-003	  5.86437E-003	
  7.16800E-001	  3.15479E-003	  4.19569E-003	  1.19265E-003	  7.50055E-003	 -1.10212E-003	  2.87446E-003	  4.26752E-003	
  7.68000E-001	  5.92935E-003	  1.36300E-003	  6.42484E-003	  1.07483E-002	  8.76798E-004	  7.82819E-003	  8.33500E-003	
  8.19200E-001	  4.83046E-003	  2.66101E-004	  5.41527E-003	  6.31949E-003	  5.94141E-003	  7.97918E-003	  3.06132E-003	
  9.21600E-001	  3.27604E-003	  1.76464E-003	  1.90342E-003	  8.53362E-004	  5.54052E-003	  4.95423E-003	  4.64006E-003	
  1.02400E+000	  3.84806E-003	  1.25392E-003	  4.14718E-003	  6.77172E-003	  1.43929E-003	  3.99088E-003	  5.48539E-003	
  1.12640E+000	  3.14274E-003	  2.95832E-003	  3.50103E-003	  3.48261E-003	  3.02316E-003	  1.88672E-003	  4.00460E-003	
  1.22880E+000	  2.82591E-003	 -1.26499E-003	  6.22411E-003	  4.25288E-003	  3.01645E-003	  7.25385E-004	  4.00162E-003	
  1.33120E+000	  2.54535E-003	  4.05652E-003	  4.23568E-003	  2.39226E-003	 -1.54454E-003	  4.10641E-003	  2.02575E-003	
  1.43360E+000	  8.99309E-004	  2.61377E-005	  1.95801E-003	 -9.67445E-004	  5.35815E-004	  5.32780E-003	 -1.48447E-003	
  1.53600E+000	  1.09869E-003	 -5.23931E-004	  2.25336E-003	  2.50420E-003	 -1.23183E-003	  1.82896E-003	  1.76140E-003	
  1.63840E+000	  2.13570E-003	  1.04087E-003	  2.29219E-003	  1.78826E-003	  2.13554E-003	  1.75013E-003	  3.80723E-003	
  1.84320E+000	  1.73076E-003	  1.33969E-003	  2.46315E-003	  3.07456E-003	  1.86862E-004	  1.50989E-003	  1.81040E-003	
  2.04800E+000	  1.97703E-003	  4.44051E-004	  3.32890E-003	  1.37736E-003	  3.21808E-003	  2.38093E-003	  1.11285E-003	
  2.25280E+000	  2.01480E-003	  1.36837E-003	  2.72207E-003	  2.24696E-003	  5.61486E-004	  1.36654E-003	  3.82335E-003	
  2.45760E+000	  5.72867E-004	  5.72167E-004	  5.88287E-004	  1.77124E-003	  6.70308E-005	 -2.09179E-003	  2.53027E-003	
  2.66240E+000	  1.02051E-003	  1.52866E-003	 -6.52920E-004	  2.00099E-003	  6.33337E-004	  2.95656E-003	 -3.43563E-004	
  2.86720E+000	  1.75585E-003	  4.00599E-003	  1.95667E-003	 -6.72765E-007	 -1.22938E-003	  3.40635E-003	  2.39614E-003	
  3.07200E+000	  3.50854E-004	 -7.87661E-005	 -1.35245E-003	  1.19036E-003	  1.21812E-003	  1.57161E-003	 -4.43744E-004	
  3.22560E+000	  1.08178E-003	 -1.33383E-003	  1.93710E-003	  1.80195E-003	  2.94334E-003	  1.88042E-003	 -7.38278E-004	
  3.63520E+000	  5.90631E-004	  1.28511E-004	  2.92503E-003	 -4.06409E-004	 -4.65071E-004	  5.91087E-004	  7.70640E-004	
  4.04480E+000	  4.05582E-004	  9.31317E-004	 -2.40578E-004	 -7.05138E-004	  5.12948E-004	  7.11261E-004	  1.22368E-003	
  4.45440E+000	  2.47814E-004	 -2.66009E-003	  1.46491E-003	  1.15341E-003	 -5.93224E-005	  1.36389E-003	  2.24082E-004	
  4.86400E+000	  1.21257E-003	  6.77431E-004	  2.06279E-003	 -4.81732E-005	  1.71103E-003	  2.04720E-003	  8.25107E-004	
  5.27360E+000	  3.60201E-004	 -2.27778E-004	 -6.41018E-004	 -1.20923E-003	  1.65385E-003	  2.83637E-003	 -2.50991E-004	
  5.68320E+000	  4.93036E-004	  5.07978E-004	  4.54417E-004	  1.64388E-003	 -5.22668E-004	  1.11835E-003	 -2.43743E-004	
  6.09280E+000	  4.32922E-004	  8.97354E-004	  1.26638E-003	 -1.89036E-003	  2.22247E-003	  2.24715E-004	 -1.23024E-004	
  6.50240E+000	  7.35416E-004	  2.06171E-003	  6.93962E-004	 -5.04634E-004	  8.89293E-004	  2.20770E-003	 -9.35527E-004	
  7.32160E+000	  1.60119E-004	  1.07378E-003	 -2.61653E-004	 -5.39420E-004	  6.74619E-004	  5.85969E-004	 -5.72582E-004	
  8.14080E+000	  7.34170E-005	 -9.42369E-004	  1.41779E-003	  2.74086E-005	 -2.79786E-004	  1.68677E-004	  4.87810E-005	
  8.96000E+000	 -1.87191E-004	  1.36639E-003	 -1.27183E-003	  4.48388E-005	 -1.10247E-003	  7.85375E-004	 -9.45456E-004	
  9.77920E+000	  2.60563E-005	  1.20006E-003	 -7.32933E-005	  1.41916E-003	  2.76840E-005	 -1.26284E-003	 -1.15443E-003	
  1.05984E+001	 -2.90874E-004	  2.33253E-004	  2.20050E-004	  7.00089E-004	  1.15518E-004	 -9.38354E-004	 -2.07580E-003	
