ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  5.12000E-001	  1.37148E-002	  1.39785E-002	  1.36839E-002	  1.37902E-002	  1.34620E-002	  1.35396E-002	  1.38344E-002	
  5.63200E-001	  1.27693E-002	  1.31291E-002	  1.25436E-002	  1.28180E-002	  1.25494E-002	  1.27818E-002	  1.27938E-002	
  6.14400E-001	  1.18732E-002	  1.21976E-002	  1.17590E-002	  1.19181E-002	  1.16359E-002	  1.16829E-002	  1.20458E-002	
  6.65600E-001	  1.10755E-002	  1.12182E-002	  1.11635E-002	  1.11840E-002	  1.08295E-002	  1.08311E-002	  1.12268E-002	
  7.16800E-001	  1.04262E-002	  1.08980E-002	  1.03174E-002	  1.05059E-002	  1.00836E-002	  1.01341E-002	  1.06179E-002	
  7.68000E-001	  9.88266E-003	  1.02185E-002	  9.74537E-003	  9.95629E-003	  9.58136E-003	  9.68767E-003	  1.01068E-002	
  8.19200E-001	  9.30611E-003	  9.64737E-003	  9.05831E-003	  9.26102E-003	  9.08573E-003	  9.11937E-003	  9.66489E-003	
  9.21600E-001	  8.47464E-003	  8.88687E-003	  8.32250E-003	  8.32463E-003	  8.26783E-003	  8.31433E-003	  8.73171E-003	
  1.02400E+000	  7.73220E-003	  7.97113E-003	  7.69644E-003	  7.70136E-003	  7.34027E-003	  7.79483E-003	  7.88919E-003	
  1.12640E+000	  7.20111E-003	  7.54349E-003	  7.21567E-003	  7.21980E-003	  6.67150E-003	  7.29792E-003	  7.25831E-003	
  1.22880E+000	  6.52548E-003	  6.89023E-003	  6.57826E-003	  6.56340E-003	  6.18997E-003	  6.36363E-003	  6.56738E-003	
  1.33120E+000	  6.03130E-003	  6.40722E-003	  6.05648E-003	  6.01521E-003	  5.78707E-003	  6.08019E-003	  5.84162E-003	
  1.43360E+000	  5.60745E-003	  5.94465E-003	  5.44242E-003	  5.72185E-003	  5.05719E-003	  5.76231E-003	  5.71627E-003	
  1.53600E+000	  5.21383E-003	  5.50698E-003	  5.17583E-003	  5.35141E-003	  4.77223E-003	  5.45611E-003	  5.02040E-003	
  1.63840E+000	  5.00315E-003	  5.17633E-003	  5.07444E-003	  5.15986E-003	  4.48166E-003	  5.13262E-003	  4.99400E-003	
  1.84320E+000	  4.46287E-003	  4.50014E-003	  4.40403E-003	  4.48699E-003	  4.12282E-003	  4.67450E-003	  4.58871E-003	
  2.04800E+000	  3.98405E-003	  3.95144E-003	  3.94670E-003	  3.97794E-003	  3.84294E-003	  4.02737E-003	  4.15791E-003	
  2.25280E+000	  3.66705E-003	  3.64967E-003	  3.65379E-003	  3.68198E-003	  3.52628E-003	  3.76933E-003	  3.72126E-003	
  2.45760E+000	  3.45166E-003	  3.62721E-003	  3.47178E-003	  3.38947E-003	  3.26812E-003	  3.59291E-003	  3.36048E-003	
  2.66240E+000	  3.16982E-003	  3.38212E-003	  3.31257E-003	  2.99418E-003	  3.12116E-003	  3.21446E-003	  2.99444E-003	
  2.86720E+000	  2.98819E-003	  3.11848E-003	  3.09915E-003	  2.61679E-003	  3.13955E-003	  2.97183E-003	  2.98337E-003	
  3.07200E+000	  2.73109E-003	  2.82038E-003	  2.74851E-003	  2.69797E-003	  2.79441E-003	  2.69665E-003	  2.62860E-003	
  3.22560E+000	  2.58481E-003	  2.62544E-003	  2.63407E-003	  2.54311E-003	  2.49572E-003	  2.78478E-003	  2.42574E-003	
  3.63520E+000	  2.23509E-003	  2.20809E-003	  2.32797E-003	  2.43598E-003	  1.93300E-003	  2.37230E-003	  2.13322E-003	
  4.04480E+000	  2.07270E-003	  2.22213E-003	  2.09206E-003	  2.12584E-003	  1.97096E-003	  2.02059E-003	  2.00459E-003	
  4.45440E+000	  1.88141E-003	  2.08549E-003	  1.96172E-003	  1.85575E-003	  1.96983E-003	  1.66521E-003	  1.75048E-003	
  4.86400E+000	  1.71171E-003	  1.98067E-003	  1.87305E-003	  1.66482E-003	  1.64255E-003	  1.46388E-003	  1.64531E-003	
  5.27360E+000	  1.57574E-003	  1.96350E-003	  1.48785E-003	  1.44691E-003	  1.62415E-003	  1.50710E-003	  1.42495E-003	
  5.68320E+000	  1.45059E-003	  1.73975E-003	  1.37453E-003	  1.26589E-003	  1.56415E-003	  1.43661E-003	  1.32264E-003	
  6.09280E+000	  1.27847E-003	  1.51614E-003	  1.17752E-003	  1.21376E-003	  1.18395E-003	  1.24906E-003	  1.33041E-003	
  6.50240E+000	  1.13412E-003	  1.36037E-003	  1.05939E-003	  1.20739E-003	  1.11133E-003	  8.48357E-004	  1.21788E-003	
  7.32160E+000	  1.02245E-003	  1.21956E-003	  8.96557E-004	  1.08979E-003	  1.10843E-003	  9.30947E-004	  8.89393E-004	
  8.14080E+000	  8.79442E-004	  1.05146E-003	  8.38694E-004	  6.97054E-004	  9.20097E-004	  8.45297E-004	  9.24051E-004	
