ALV-5000/E-WIN Data
Date :	"31-Aug-09"
Time :	"17:30:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	     556.68427
MeanCR1 [kHz]   :	       0.00000

"Correlation"
      16.40625	     512.82336
      16.52344	     507.98322
      16.64063	     565.50140
      16.75781	     495.39206
      16.87500	     523.10114
      16.99219	     484.10696
      17.10938	     507.24057
      17.22656	     529.29858
      17.34375	     499.37854
      17.46094	     521.82068
      17.57813	     521.53900
      17.69531	     550.43469
      17.81250	     546.78107
      17.92969	     514.34283
      18.04688	     539.49957
      18.16406	     521.23169
      18.28125	     515.98181
      18.39844	     559.41492
      18.51563	     497.96152
      18.63281	     503.86014
      18.75000	     518.85858
      18.86719	     524.08282
      18.98438	     473.60721
      19.10156	     483.91916
      19.21875	     500.35168
      19.33594	     520.95850
      19.45313	     507.89786
      19.57031	     473.58157
      19.68750	     496.27985
      19.80469	     527.30109
      19.92188	     487.73492
      20.03906	     472.25845
      20.15625	     527.09619
      20.27344	     532.17535
      20.39063	     471.27676
      20.50781	     480.53873
      20.62500	     479.59973
      20.74219	     533.21680
      20.85938	     557.11865
      20.97656	     545.58600
      21.09375	     538.53497
      21.21094	     528.82910
      21.32813	     691.60944
      21.44531	     527.03644
      21.56250	     574.27679
      21.67969	     613.28809
      21.79688	     567.95135
      21.91406	     544.62140
      22.03125	     549.28223
      22.14844	     521.05243
      22.26563	     540.97638
      22.38281	     641.79962
      22.50000	     660.84430
      22.61719	     560.35394
      22.73438	     518.61102
      22.85156	     604.66632
      22.96875	     596.66772
      23.08594	     643.37885
      23.20313	     581.38757
      23.32031	     575.16455
      23.43750	     588.95081
      23.55469	     523.28894
      23.67188	     549.05176
      23.78906	     523.95477
      23.90625	     524.87671
      24.02344	     535.03503
      24.14063	     546.65308
      24.25781	     535.99963
      24.37500	     573.94385
      24.49219	     533.85699
      24.60938	     518.26959
      24.72656	     514.35992
      24.84375	     503.10895
      24.96094	     501.94800
      25.07813	     523.74994
      25.19531	     522.47803
      25.31250	     544.45068
      25.42969	     484.96912
      25.54688	     476.44980
      25.66406	     494.50427
      25.78125	     493.51404
      25.89844	     485.27643
      26.01563	     500.07852
      26.13281	     481.76797
      26.25000	     744.50940
      26.36719	     957.15076
      26.48438	     697.76416
      26.60156	     534.67651
      26.71875	    1051.11072
      26.83594	     915.27979
      26.95313	     665.58197
      27.07031	     917.12366
      27.18750	    1200.05359
      27.30469	    1327.80066
      27.42188	     980.23315
      27.53906	     656.76385
      27.65625	     518.09882
      27.77344	     503.19431
      27.89063	     513.48920
      28.00781	     497.44080
      28.12500	     497.31274
      28.24219	     492.91650
      28.35938	     533.71191
      28.47656	     548.79565
      28.59375	     542.76044
      28.71094	     490.57755
      28.82813	     483.04843
      28.94531	     498.59320
      29.06250	     496.54446
      29.17969	     491.11533
      29.29688	     529.03394
      29.41406	     521.71826
      29.53125	     536.95569
      29.64844	     537.59595
      29.76563	     676.88416
      29.88281	     597.23114
