# number, position 1[micrometer], ideal position 1 [micrometer] 
108, 4352.3751000000002, 4352.37900000001991
109, 4352.17500000000018, 4352.1790000000201
110, 4351.97490000000016, 4351.97900000002028
111, 4351.77480000000014, 4351.77900000002046
112, 4351.56779999999981, 4351.57900000002064
113, 4351.38149999999951, 4351.37900000002082
114, 4351.17450000000008, 4351.17900000002101
115, 4350.97440000000006, 4350.97900000002119
116, 4350.77430000000004, 4350.77900000002137
117, 4350.57420000000002, 4350.57900000002155
118, 4350.36719999999968, 4350.37900000002173
119, 4350.17399999999998, 4350.17900000002192
120, 4349.98080000000027, 4349.9790000000221
121, 4349.78070000000025, 4349.77900000002228
122, 4349.57369999999992, 4349.57900000002246
123, 4349.3735999999999, 4349.37900000002264
124, 4349.17349999999988, 4349.17900000002282
125, 4348.97339999999986, 4348.97900000002301
126, 4348.76639999999952, 4348.77900000002319
127, 4348.58010000000013, 4348.57900000002337
128, 4348.38000000000011, 4348.37900000002355
129, 4348.17299999999977, 4348.17900000002373
130, 4347.97980000000007, 4347.97900000002392
131, 4347.77279999999973, 4347.7790000000241
132, 4347.57960000000003, 4347.57900000002428
133, 4347.36570000000029, 4347.37900000002446
134, 4347.17939999999999, 4347.17900000002464
135, 4346.97239999999965, 4346.97900000002483
136, 4346.77229999999963, 4346.77900000002501
137, 4346.57219999999961, 4346.57900000002519
138, 4346.37209999999959, 4346.37900000002537
139, 4346.17199999999957, 4346.17900000002555
140, 4345.97189999999955, 4345.97900000002574
141, 4345.77869999999984, 4345.77900000002592
142, 4345.57859999999982, 4345.5790000000261
143, 4345.37159999999949, 4345.37900000002628
144, 4345.17150000000038, 4345.17900000002646
145, 4344.97140000000036, 4344.97900000002664
146, 4344.77130000000034, 4344.77900000002683
147, 4344.5643, 4344.57900000002701
148, 4344.3779999999997, 4344.37900000002719
149, 4344.17789999999968, 4344.17900000002737
150, 4343.97090000000026, 4343.97900000002755
151, 4343.77080000000024, 4343.77900000002774
152, 4343.57759999999962, 4343.57900000002792
153, 4343.37060000000019, 4343.3790000000281
154, 4343.17050000000017, 4343.17900000002828
155, 4342.97040000000015, 4342.97900000002846
156, 4342.77719999999954, 4342.77900000002865
157, 4342.57020000000011, 4342.57900000002883
158, 4342.37010000000009, 4342.37900000002901
159, 4342.17000000000007, 4342.17900000002919
160, 4341.96990000000005, 4341.97900000002937
161, 4341.76289999999972, 4341.77900000002955
162, 4341.57660000000033, 4341.57900000002974
163, 4341.38339999999971, 4341.37900000002992
164, 4341.16949999999997, 4341.1790000000301
165, 4340.97630000000026, 4340.97900000003028
166, 4340.76929999999993, 4340.77900000003046
167, 4340.56919999999991, 4340.57900000003065
168, 4340.36219999999958, 4340.37900000003083
169, 4340.16899999999987, 4340.17900000003101
170, 4339.97580000000016, 4339.97900000003119
171, 4339.76189999999951, 4339.77900000003137
172, 4339.56869999999981, 4339.57900000003156
173, 4339.38239999999951, 4339.37900000003174
174, 4339.17540000000008, 4339.17900000003192
175, 4338.98220000000038, 4338.9790000000321
176, 4338.77520000000004, 4338.77900000003228
177, 4338.58200000000033, 4338.57900000003247
178, 4338.36809999999969, 4338.37900000003265
179, 4338.17489999999998, 4338.17900000003283
180, 4337.97479999999996, 4337.97900000003301
181, 4337.77469999999994, 4337.77900000003319
182, 4337.57459999999992, 4337.57900000003337
183, 4337.3744999999999, 4337.37900000003356
184, 4337.1881999999996, 4337.17900000003374
185, 4336.97429999999986, 4336.97900000003392
186, 4336.77419999999984, 4336.7790000000341
187, 4336.57409999999982, 4336.57900000003428
188, 4336.3739999999998, 4336.37900000003447
189, 4336.17389999999978, 4336.17900000003465
190, 4335.97379999999976, 4335.97900000003483
191, 4335.78060000000005, 4335.77900000003501
192, 4335.57359999999971, 4335.57900000003519
193, 4335.37349999999969, 4335.37900000003538
194, 4335.17339999999967, 4335.17900000003556
195, 4334.98019999999997, 4334.97900000003574
196, 4334.77319999999963, 4334.77900000003592
197, 4334.57309999999961, 4334.5790000000361
198, 4334.37989999999991, 4334.37900000003629
199, 4334.16600000000017, 4334.17900000003647
200, 4333.97279999999955, 4333.97900000003665
201, 4333.77269999999953, 4333.77900000003683
202, 4333.57259999999951, 4333.57900000003701
203, 4333.36560000000009, 4333.37900000003719
204, 4333.17929999999978, 4333.17900000003738
205, 4332.98610000000008, 4332.97900000003756
206, 4332.77909999999974, 4332.77900000003774
207, 4332.57210000000032, 4332.57900000003792
208, 4332.3720000000003, 4332.3790000000381
209, 4332.16499999999996, 4332.17900000003829
210, 4331.96489999999994, 4331.97900000003847
211, 4331.77170000000024, 4331.77900000003865
212, 4331.58539999999994, 4331.57900000003883
213, 4331.3715000000002, 4331.37900000003901
214, 4331.17140000000018, 4331.1790000000392
215, 4330.97130000000016, 4330.97900000003938
216, 4330.77120000000014, 4330.77900000003956
217, 4330.57110000000011, 4330.57900000003974
218, 4330.37100000000009, 4330.37900000003992
219, 4330.18469999999979, 4330.17900000004011
220, 4329.97080000000005, 4329.97900000004029
221, 4329.77070000000003, 4329.77900000004047
222, 4329.5636999999997, 4329.57900000004065
223, 4329.37049999999999, 4329.37900000004083
224, 4329.17039999999997, 4329.17900000004101
225, 4328.97029999999995, 4328.9790000000412
226, 4328.77710000000025, 4328.77900000004138
227, 4328.57700000000023, 4328.57900000004156
228, 4328.36999999999989, 4328.37900000004174
229, 4328.16989999999987, 4328.17900000004192
230, 4327.96979999999985, 4327.97900000004211
231, 4327.76969999999983, 4327.77900000004229
232, 4327.5626999999995, 4327.57900000004247
233, 4327.3764000000001, 4327.37900000004265
234, 4327.17630000000008, 4327.17900000004283
235, 4326.96929999999975, 4326.97900000004302
236, 4326.76919999999973, 4326.7790000000432
237, 4326.57600000000002, 4326.57900000004338
238, 4326.36899999999969, 4326.37900000004356
239, 4326.16200000000026, 4326.17900000004374
240, 4325.97569999999996, 4325.97900000004392
241, 4325.77559999999994, 4325.77900000004411
242, 4325.57549999999992, 4325.57900000004429
243, 4325.3753999999999, 4325.37900000004447
244, 4325.16839999999956, 4325.17900000004465
245, 4324.97519999999986, 4324.97900000004483
246, 4324.77509999999984, 4324.77900000004502
247, 4324.58190000000013, 4324.5790000000452
248, 4324.38180000000011, 4324.37900000004538
249, 4324.17479999999978, 4324.17900000004556
250, 4323.97469999999976, 4323.97900000004574
251, 4323.77459999999974, 4323.77900000004593
252, 4323.57449999999972, 4323.57900000004611
253, 4323.36750000000029, 4323.37900000004629
254, 4323.17429999999968, 4323.17900000004647
255, 4322.98109999999997, 4322.97900000004665
256, 4322.77409999999963, 4322.77900000004684
257, 4322.57399999999961, 4322.57900000004702
258, 4322.38079999999991, 4322.3790000000472
259, 4322.17379999999957, 4322.17900000004738
260, 4321.97369999999955, 4321.97900000004756
261, 4321.78049999999985, 4321.77900000004774
262, 4321.57349999999951, 4321.57900000004793
263, 4321.37339999999949, 4321.37900000004811
264, 4321.17330000000038, 4321.17900000004829
265, 4320.97320000000036, 4320.97900000004847
266, 4320.77310000000034, 4320.77900000004865
267, 4320.57300000000032, 4320.57900000004884
268, 4320.3729000000003, 4320.37900000004902
269, 4320.17969999999968, 4320.1790000000492
270, 4319.97270000000026, 4319.97900000004938
271, 4319.77949999999964, 4319.77900000004956
272, 4319.57250000000022, 4319.57900000004975
273, 4319.3724000000002, 4319.37900000004993
274, 4319.16539999999986, 4319.17900000005011
275, 4318.97909999999956, 4318.97900000005029
276, 4318.77899999999954, 4318.77900000005047
277, 4318.57889999999952, 4318.57900000005066
278, 4318.3719000000001, 4318.37900000005084
279, 4318.17869999999948, 4318.17900000005102
280, 4317.97170000000006, 4317.9790000000512
281, 4317.77160000000003, 4317.77900000005138
282, 4317.57150000000001, 4317.57900000005156
283, 4317.37830000000031, 4317.37900000005175
284, 4317.16439999999966, 4317.17900000005193
285, 4316.97119999999995, 4316.97900000005211
286, 4316.77109999999993, 4316.77900000005229
287, 4316.57099999999991, 4316.57900000005247
288, 4316.37089999999989, 4316.37900000005266
289, 4316.17770000000019, 4316.17900000005284
290, 4315.98449999999957, 4315.97900000005302
291, 4315.77059999999983, 4315.7790000000532
292, 4315.57049999999981, 4315.57900000005338
293, 4315.37039999999979, 4315.37900000005357
294, 4315.17029999999977, 4315.17900000005375
295, 4314.96330000000034, 4314.97900000005393
296, 4314.77009999999973, 4314.77900000005411
297, 4314.57690000000002, 4314.57900000005429
298, 4314.36989999999969, 4314.37900000005448
299, 4314.16979999999967, 4314.17900000005466
300, 4313.96969999999965, 4313.97900000005484
301, 4313.76959999999963, 4313.77900000005502
302, 4313.56949999999961, 4313.5790000000552
303, 4313.36939999999959, 4313.37900000005538
304, 4313.17619999999988, 4313.17900000005557
305, 4312.96919999999955, 4312.97900000005575
306, 4312.76909999999953, 4312.77900000005593
307, 4312.56899999999951, 4312.57900000005611
308, 4312.3757999999998, 4312.37900000005629
309, 4312.16190000000006, 4312.17900000005648
310, 4311.96870000000035, 4311.97900000005666
311, 4311.78930000000037, 4311.77900000005684
312, 4311.57539999999972, 4311.57900000005702
313, 4311.3752999999997, 4311.3790000000572
314, 4311.17519999999968, 4311.17900000005739
315, 4310.97509999999966, 4310.97900000005757
316, 4310.76810000000023, 4310.77900000005775
317, 4310.57489999999962, 4310.57900000005793
318, 4310.38169999999991, 4310.37900000005811
319, 4310.18159999999989, 4310.17900000005829
320, 4309.97459999999955, 4309.97900000005848
321, 4309.77449999999953, 4309.77900000005866
322, 4309.57439999999951, 4309.57900000005884
323, 4309.37429999999949, 4309.37900000005902
324, 4309.17419999999947, 4309.1790000000592
325, 4308.98099999999977, 4308.97900000005939
326, 4308.77400000000034, 4308.77900000005957
327, 4308.57390000000032, 4308.57900000005975
328, 4308.36689999999999, 4308.37900000005993
329, 4308.18059999999969, 4308.17900000006011
330, 4307.96669999999995, 4307.9790000000603
331, 4307.77350000000024, 4307.77900000006048
332, 4307.58719999999994, 4307.57900000006066
333, 4307.3801999999996, 4307.37900000006084
334, 4307.17320000000018, 4307.17900000006102
335, 4306.97310000000016, 4306.97900000006121
336, 4306.77300000000014, 4306.77900000006139
337, 4306.57290000000012, 4306.57900000006157
338, 4306.36589999999978, 4306.37900000006175
339, 4306.17959999999948, 4306.17900000006193
340, 4305.97260000000006, 4305.97900000006211
341, 4305.77250000000004, 4305.7790000000623
342, 4305.57240000000002, 4305.57900000006248
343, 4305.37920000000031, 4305.37900000006266
344, 4305.17910000000029, 4305.17900000006284
345, 4304.96519999999964, 4304.97900000006302
346, 4304.77890000000025, 4304.77900000006321
347, 4304.57189999999991, 4304.57900000006339
