ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  1.92000E-001	  2.50247E-002	  2.45806E-002	  2.53689E-002	  2.46869E-002	  2.53743E-002	  2.51126E-002	
  2.04800E-001	  2.35223E-002	  2.33213E-002	  2.38688E-002	  2.33203E-002	  2.36243E-002	  2.34767E-002	
  2.30400E-001	  2.12039E-002	  2.11415E-002	  2.11011E-002	  2.12166E-002	  2.12616E-002	  2.12988E-002	
  2.56000E-001	  1.91902E-002	  1.90361E-002	  1.92373E-002	  1.91769E-002	  1.92307E-002	  1.92699E-002	
  2.81600E-001	  1.76965E-002	  1.78617E-002	  1.75469E-002	  1.75841E-002	  1.78474E-002	  1.76425E-002	
  3.07200E-001	  1.62584E-002	  1.59720E-002	  1.62822E-002	  1.62591E-002	  1.67015E-002	  1.60772E-002	
  3.32800E-001	  1.50997E-002	  1.51668E-002	  1.49470E-002	  1.50665E-002	  1.50044E-002	  1.53138E-002	
  3.58400E-001	  1.37540E-002	  1.38192E-002	  1.38034E-002	  1.39310E-002	  1.37122E-002	  1.35045E-002	
  3.84000E-001	  1.29739E-002	  1.32133E-002	  1.35173E-002	  1.31144E-002	  1.26346E-002	  1.23898E-002	
  4.09600E-001	  1.22177E-002	  1.23726E-002	  1.25845E-002	  1.20533E-002	  1.22696E-002	  1.18087E-002	
