ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"18:21:07"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	        10
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      21.73367
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  22.737"	" 2,  24.080"	" 3,  23.518"	" 4,  23.867"	" 5,  24.457"	" 6,  22.061"	" 7,  23.723"	" 8,  23.487"	" 9,  23.492"	"10,  21.734"	
  3.58400E-001	  9.14209E-001	  8.86310E-001	  9.29303E-001	  9.32263E-001	  9.25382E-001	  8.76503E-001	  9.63434E-001	  8.73653E-001	  9.17504E-001	  8.76075E-001	  9.61662E-001	
  3.84000E-001	  9.07330E-001	  8.79606E-001	  9.22016E-001	  9.26480E-001	  9.15561E-001	  8.70251E-001	  9.58283E-001	  8.67054E-001	  9.09875E-001	  8.70521E-001	  9.53650E-001	
  4.09600E-001	  8.99925E-001	  8.70503E-001	  9.12555E-001	  9.19628E-001	  9.11380E-001	  8.63473E-001	  9.51676E-001	  8.59093E-001	  9.01286E-001	  8.64029E-001	  9.45623E-001	
  4.60800E-001	  8.85463E-001	  8.58789E-001	  8.97055E-001	  9.04493E-001	  8.96574E-001	  8.51740E-001	  9.34855E-001	  8.45512E-001	  8.87119E-001	  8.47357E-001	  9.31136E-001	
  5.12000E-001	  8.72304E-001	  8.44754E-001	  8.83712E-001	  8.92424E-001	  8.85611E-001	  8.36330E-001	  9.19211E-001	  8.33230E-001	  8.74849E-001	  8.35739E-001	  9.17179E-001	
  5.63200E-001	  8.58653E-001	  8.33526E-001	  8.70844E-001	  8.80125E-001	  8.67923E-001	  8.22833E-001	  9.08163E-001	  8.19183E-001	  8.62346E-001	  8.19773E-001	  9.01816E-001	
  6.14400E-001	  8.46680E-001	  8.22307E-001	  8.61338E-001	  8.68252E-001	  8.55922E-001	  8.11329E-001	  8.94262E-001	  8.06445E-001	  8.47450E-001	  8.08492E-001	  8.91003E-001	
  6.65600E-001	  8.33784E-001	  8.10145E-001	  8.47814E-001	  8.54932E-001	  8.42016E-001	  7.99031E-001	  8.79517E-001	  7.95692E-001	  8.36421E-001	  7.94425E-001	  8.77850E-001	
  7.16800E-001	  8.22999E-001	  7.99289E-001	  8.38300E-001	  8.42723E-001	  8.32381E-001	  7.89072E-001	  8.68456E-001	  7.83730E-001	  8.27740E-001	  7.83965E-001	  8.64338E-001	
  7.68000E-001	  8.12300E-001	  7.87083E-001	  8.24899E-001	  8.35745E-001	  8.19872E-001	  7.79484E-001	  8.56899E-001	  7.74768E-001	  8.16186E-001	  7.73740E-001	  8.54322E-001	
  8.19200E-001	  8.00977E-001	  7.76370E-001	  8.14864E-001	  8.21895E-001	  8.09897E-001	  7.67256E-001	  8.46448E-001	  7.62552E-001	  8.05157E-001	  7.62364E-001	  8.42963E-001	
  9.21600E-001	  7.80568E-001	  7.56378E-001	  7.93969E-001	  8.02865E-001	  7.89378E-001	  7.47906E-001	  8.25900E-001	  7.43655E-001	  7.82852E-001	  7.41623E-001	  8.21152E-001	
  1.02400E+000	  7.60960E-001	  7.38014E-001	  7.74970E-001	  7.82669E-001	  7.69895E-001	  7.29413E-001	  8.06646E-001	  7.23199E-001	  7.63105E-001	  7.20917E-001	  8.00769E-001	
  1.12640E+000	  7.42569E-001	  7.19055E-001	  7.56398E-001	  7.62665E-001	  7.52304E-001	  7.11582E-001	  7.85705E-001	  7.07743E-001	  7.46887E-001	  7.02661E-001	  7.80692E-001	
  1.22880E+000	  7.25470E-001	  7.02010E-001	  7.40372E-001	  7.46498E-001	  7.35195E-001	  6.95251E-001	  7.67658E-001	  6.90980E-001	  7.27201E-001	  6.85588E-001	  7.63952E-001	
  1.33120E+000	  7.09754E-001	  6.86311E-001	  7.26011E-001	  7.30834E-001	  7.20072E-001	  6.80326E-001	  7.50900E-001	  6.75545E-001	  7.11511E-001	  6.68600E-001	  7.47433E-001	
  1.43360E+000	  6.94274E-001	  6.71227E-001	  7.10646E-001	  7.15807E-001	  7.04947E-001	  6.65976E-001	  7.32919E-001	  6.60859E-001	  6.96070E-001	  6.52263E-001	  7.32029E-001	
  1.53600E+000	  6.79549E-001	  6.57685E-001	  6.95316E-001	  7.00151E-001	  6.90947E-001	  6.51119E-001	  7.18141E-001	  6.46845E-001	  6.80248E-001	  6.38355E-001	  7.16679E-001	
  1.63840E+000	  6.65257E-001	  6.43093E-001	  6.79009E-001	  6.86402E-001	  6.77234E-001	  6.36207E-001	  7.03476E-001	  6.33624E-001	  6.66624E-001	  6.25165E-001	  7.01731E-001	
  1.84320E+000	  6.38527E-001	  6.15590E-001	  6.50704E-001	  6.58120E-001	  6.50856E-001	  6.10505E-001	  6.76063E-001	  6.10573E-001	  6.39195E-001	  5.99626E-001	  6.74037E-001	
  2.04800E+000	  6.14291E-001	  5.92417E-001	  6.26936E-001	  6.33138E-001	  6.28214E-001	  5.85842E-001	  6.49151E-001	  5.88553E-001	  6.14931E-001	  5.75649E-001	  6.48076E-001	
  2.25280E+000	  5.91802E-001	  5.70695E-001	  6.04123E-001	  6.09635E-001	  6.05768E-001	  5.63940E-001	  6.26141E-001	  5.65835E-001	  5.93601E-001	  5.54063E-001	  6.24219E-001	
  2.45760E+000	  5.69758E-001	  5.47901E-001	  5.82451E-001	  5.84603E-001	  5.83961E-001	  5.43744E-001	  6.03402E-001	  5.46413E-001	  5.71938E-001	  5.30923E-001	  6.02240E-001	
  2.66240E+000	  5.49861E-001	  5.31705E-001	  5.60994E-001	  5.61250E-001	  5.65265E-001	  5.25193E-001	  5.80901E-001	  5.28375E-001	  5.53304E-001	  5.11307E-001	  5.80313E-001	
  2.86720E+000	  5.31383E-001	  5.13704E-001	  5.41987E-001	  5.40606E-001	  5.48879E-001	  5.07207E-001	  5.60527E-001	  5.11778E-001	  5.33497E-001	  4.95354E-001	  5.60291E-001	
  3.07200E+000	  5.14518E-001	  4.96877E-001	  5.25133E-001	  5.24494E-001	  5.36146E-001	  4.89522E-001	  5.43210E-001	  4.93806E-001	  5.14101E-001	  4.81260E-001	  5.40632E-001	
  3.22560E+000	  5.03221E-001	  4.91003E-001	  5.12926E-001	  5.09435E-001	  5.25695E-001	  4.78230E-001	  5.30115E-001	  4.84286E-001	  5.01562E-001	  4.70737E-001	  5.28220E-001	
  3.63520E+000	  4.73542E-001	  4.62873E-001	  4.83341E-001	  4.77428E-001	  4.97979E-001	  4.50834E-001	  4.97326E-001	  4.55757E-001	  4.71223E-001	  4.43432E-001	  4.95222E-001	
  4.04480E+000	  4.47103E-001	  4.38557E-001	  4.57373E-001	  4.50290E-001	  4.71482E-001	  4.24937E-001	  4.70314E-001	  4.28959E-001	  4.43378E-001	  4.17550E-001	  4.68187E-001	
  4.45440E+000	  4.23123E-001	  4.15712E-001	  4.33487E-001	  4.25244E-001	  4.48806E-001	  4.02255E-001	  4.46086E-001	  4.04501E-001	  4.16998E-001	  3.94739E-001	  4.43397E-001	
  4.86400E+000	  4.01612E-001	  3.96065E-001	  4.12634E-001	  4.03573E-001	  4.26928E-001	  3.82458E-001	  4.22651E-001	  3.83014E-001	  3.96440E-001	  3.73492E-001	  4.18863E-001	
  5.27360E+000	  3.81974E-001	  3.76888E-001	  3.92323E-001	  3.85017E-001	  4.07357E-001	  3.62983E-001	  4.03767E-001	  3.62490E-001	  3.75444E-001	  3.56639E-001	  3.96830E-001	
  5.68320E+000	  3.63652E-001	  3.60387E-001	  3.73687E-001	  3.66313E-001	  3.87342E-001	  3.46243E-001	  3.84856E-001	  3.42311E-001	  3.58586E-001	  3.40490E-001	  3.76302E-001	
  6.09280E+000	  3.46803E-001	  3.44769E-001	  3.57180E-001	  3.49379E-001	  3.70071E-001	  3.28250E-001	  3.66466E-001	  3.25769E-001	  3.43303E-001	  3.27120E-001	  3.55722E-001	
  6.50240E+000	  3.32718E-001	  3.30003E-001	  3.44349E-001	  3.37550E-001	  3.56915E-001	  3.14476E-001	  3.49463E-001	  3.11454E-001	  3.28660E-001	  3.14855E-001	  3.39457E-001	
  7.32160E+000	  3.06526E-001	  3.04141E-001	  3.17789E-001	  3.15444E-001	  3.30799E-001	  2.88531E-001	  3.20103E-001	  2.83514E-001	  3.02206E-001	  2.90210E-001	  3.12519E-001	
  8.14080E+000	  2.84385E-001	  2.80504E-001	  2.98773E-001	  2.94850E-001	  3.09859E-001	  2.65176E-001	  2.96865E-001	  2.63338E-001	  2.76268E-001	  2.68706E-001	  2.89510E-001	
  8.96000E+000	  2.65268E-001	  2.59250E-001	  2.82955E-001	  2.78773E-001	  2.90503E-001	  2.49035E-001	  2.75534E-001	  2.46140E-001	  2.53192E-001	  2.48308E-001	  2.68988E-001	
  9.77920E+000	  2.48209E-001	  2.37576E-001	  2.66916E-001	  2.64449E-001	  2.75823E-001	  2.33360E-001	  2.55248E-001	  2.29628E-001	  2.36613E-001	  2.29622E-001	  2.52859E-001	
  1.05984E+001	  2.32776E-001	  2.16136E-001	  2.49771E-001	  2.49035E-001	  2.64745E-001	  2.16296E-001	  2.42840E-001	  2.15846E-001	  2.22929E-001	  2.10968E-001	  2.39191E-001	
  1.14176E+001	  2.18848E-001	  2.00520E-001	  2.34590E-001	  2.33358E-001	  2.52393E-001	  2.02677E-001	  2.31474E-001	  2.02283E-001	  2.08982E-001	  1.95176E-001	  2.27021E-001	
  1.22368E+001	  2.07495E-001	  1.89676E-001	  2.21666E-001	  2.23795E-001	  2.44665E-001	  1.89128E-001	  2.20454E-001	  1.90470E-001	  1.97942E-001	  1.81823E-001	  2.15328E-001	
  1.30560E+001	  1.96615E-001	  1.79579E-001	  2.08679E-001	  2.14397E-001	  2.34150E-001	  1.79347E-001	  2.09638E-001	  1.80517E-001	  1.86325E-001	  1.70517E-001	  2.03001E-001	
  1.46944E+001	  1.77715E-001	  1.60286E-001	  1.87847E-001	  1.96264E-001	  2.13762E-001	  1.62454E-001	  1.91588E-001	  1.62733E-001	  1.66541E-001	  1.53359E-001	  1.82313E-001	
  1.63328E+001	  1.61544E-001	  1.46940E-001	  1.74723E-001	  1.75852E-001	  1.99666E-001	  1.45682E-001	  1.73057E-001	  1.46232E-001	  1.48987E-001	  1.39714E-001	  1.64586E-001	
