ALV-5000/E-WIN Data
Date :	"22-Aug-08"
Time :	"14:13:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         3
Runs            :	         2
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	      52.52520
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	
  3.68640E+000	  2.03917E-003	  1.99793E-003	  2.08041E-003	  5.11360E-003	  8.30264E-003	  1.92457E-003	
  4.09600E+000	  2.05144E-003	  2.01973E-003	  2.08314E-003	  5.01250E-003	  8.61863E-003	  1.40636E-003	
  4.50560E+000	  1.66946E-003	  1.20892E-003	  2.13001E-003	  5.14180E-003	  8.70582E-003	  1.57779E-003	
  4.91520E+000	  1.40812E-003	  1.33451E-003	  1.48173E-003	  5.18148E-003	  8.34779E-003	  2.01517E-003	
  5.32480E+000	  1.84781E-003	  1.65928E-003	  2.03633E-003	  5.11267E-003	  8.38641E-003	  1.83892E-003	
  5.73440E+000	  3.00203E-003	  2.24565E-003	  3.75841E-003	  5.03445E-003	  8.59055E-003	  1.47834E-003	
  6.14400E+000	  1.22956E-003	  6.30796E-004	  1.82833E-003	  5.22797E-003	  8.75087E-003	  1.70506E-003	
  6.45120E+000	  2.06361E-003	  1.85429E-003	  2.27292E-003	  5.51497E-003	  9.16531E-003	  1.86463E-003	
  7.27040E+000	  2.15666E-003	  2.58039E-003	  1.73292E-003	  5.51201E-003	  8.98276E-003	  2.04125E-003	
  8.08960E+000	  1.47546E-003	  1.37121E-003	  1.57971E-003	  5.29492E-003	  8.84438E-003	  1.74547E-003	
  8.90880E+000	  1.25439E-003	  2.34178E-003	  1.66995E-004	  5.33172E-003	  9.01858E-003	  1.64486E-003	
  9.72800E+000	  1.52369E-003	  1.74901E-003	  1.29837E-003	  5.47659E-003	  9.28828E-003	  1.66490E-003	
  1.05472E+001	  1.30759E-003	  1.66570E-003	  9.49478E-004	  5.44004E-003	  9.10741E-003	  1.77268E-003	
  1.13664E+001	  7.28754E-004	  1.56117E-003	 -1.03660E-004	  5.47703E-003	  9.26828E-003	  1.68579E-003	
  1.21856E+001	  8.76585E-004	  1.67735E-003	  7.58255E-005	  5.69077E-003	  9.51662E-003	  1.86492E-003	
  1.30048E+001	  6.12621E-004	  1.67422E-003	 -4.48980E-004	  5.54902E-003	  9.26107E-003	  1.83697E-003	
  1.46432E+001	  1.37443E-003	  1.72234E-003	  1.02651E-003	  5.36224E-003	  9.03670E-003	  1.68778E-003	
  1.62816E+001	  1.41967E-003	  2.07531E-003	  7.64043E-004	  5.33866E-003	  9.04890E-003	  1.62842E-003	
  1.79200E+001	  8.37157E-004	  1.09044E-003	  5.83877E-004	  5.40168E-003	  9.00668E-003	  1.79668E-003	
  1.95584E+001	  1.15201E-003	  1.87410E-003	  4.29920E-004	  5.32907E-003	  8.92998E-003	  1.72816E-003	
  2.11968E+001	  6.78767E-004	  1.45209E-003	 -9.45537E-005	  5.34232E-003	  8.97068E-003	  1.71397E-003	
  2.28352E+001	  1.09033E-003	  1.86488E-003	  3.15773E-004	  5.25560E-003	  8.94164E-003	  1.56957E-003	
  2.44736E+001	  1.00956E-003	  1.15389E-003	  8.65224E-004	  5.30447E-003	  8.98025E-003	  1.62869E-003	
  2.61120E+001	  1.21908E-003	  1.87486E-003	  5.63300E-004	  5.19911E-003	  8.81531E-003	  1.58291E-003	
  2.93888E+001	  1.13822E-003	  1.79042E-003	  4.86013E-004	  5.18384E-003	  8.74846E-003	  1.61923E-003	
  3.26656E+001	  9.98610E-004	  1.18704E-003	  8.10176E-004	  5.12690E-003	  8.65907E-003	  1.59472E-003	
  3.59424E+001	  7.77198E-004	  8.37506E-004	  7.16889E-004	  5.15343E-003	  8.79395E-003	  1.51290E-003	
  3.92192E+001	  9.50473E-004	  1.08436E-003	  8.16586E-004	  5.31925E-003	  8.88353E-003	  1.75496E-003	
