ALV-5000/E-WIN Data
ALV-5000/EPP-WIN Data
Date :	"4/16/2010"
Time :	"12:10:15 PM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	         5
Runs            :	         5
Mode            :	"SINGLE AUTO CH1"
MeanCR0 [kHz]   :	       0.73985
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.554"	" 2,   1.204"	" 3,   1.124"	" 4,   0.877"	" 5,   0.740"	
  6.62400E+000	  1.55820E-002	  1.41786E-002	 -1.80249E-003	 -2.85253E-002	  2.21576E-002	  7.19016E-002	
  7.13600E+000	  1.56711E-002	  1.95935E-002	  1.34144E-003	  1.09116E-002	  3.16174E-002	  1.48914E-002	
  7.64800E+000	 -1.45187E-002	  1.05794E-002	 -1.41162E-002	 -1.90906E-002	 -6.99629E-003	 -4.29697E-002	
  8.16000E+000	  1.59733E-003	  7.13023E-003	  1.36889E-002	 -2.69915E-003	 -1.49529E-002	  4.81966E-003	
  9.18400E+000	  1.03717E-003	 -2.54320E-003	 -1.93064E-003	  1.22163E-002	  1.74238E-003	 -4.29900E-003	
  1.02080E+001	  7.35121E-003	  4.78607E-003	  7.70005E-004	  8.51099E-003	  1.71744E-002	  5.51456E-003	
  1.12320E+001	  1.49449E-002	  9.36692E-003	 -3.20481E-003	 -2.61174E-003	  2.04210E-002	  5.07533E-002	
  1.22560E+001	  5.47397E-003	  1.20798E-002	  5.63513E-003	  5.92076E-003	  6.21084E-003	 -2.47675E-003	
  1.32800E+001	  1.38628E-002	  2.04089E-002	  3.04512E-002	  6.09632E-003	 -8.71374E-003	  2.10714E-002	
  1.43040E+001	 -2.68512E-003	 -1.65210E-002	 -1.04356E-002	  1.34978E-003	 -8.46417E-003	  2.06454E-002	
  1.53280E+001	  1.53941E-003	  1.08510E-002	  1.10284E-003	  1.15825E-002	  3.84058E-003	 -1.96798E-002	
  1.63520E+001	  9.36392E-003	  1.80764E-002	  2.99376E-003	  8.99890E-003	  2.24495E-002	 -5.69890E-003	
  1.84000E+001	  1.38064E-003	  1.39458E-002	 -8.08715E-003	  1.56771E-002	  9.68948E-004	 -1.56015E-002	
  2.04480E+001	 -9.24241E-003	 -6.15533E-004	  7.03584E-003	 -1.52006E-002	 -1.89452E-002	 -1.84865E-002	
  2.24960E+001	  8.73804E-003	  9.03419E-003	 -2.09425E-003	  8.95127E-003	  1.60786E-002	  1.17204E-002	
  2.45440E+001	  7.74008E-003	  1.27974E-002	  4.29369E-003	  6.71139E-003	  1.66602E-002	 -1.76225E-003	
  2.65920E+001	  8.51588E-003	  8.09782E-004	 -6.23192E-004	  1.26474E-002	  1.18966E-002	  1.78488E-002	
  2.86400E+001	  5.13428E-003	 -2.87513E-003	 -5.55200E-003	  1.52397E-003	  1.11444E-002	  2.14301E-002	
  3.06880E+001	  8.21626E-003	  1.44585E-002	 -3.28151E-004	  1.29804E-002	  1.99325E-003	  1.19773E-002	
  3.27360E+001	  8.07098E-003	  1.46244E-002	  1.05780E-002	  8.10386E-003	 -5.04014E-003	  1.20888E-002	
  3.68320E+001	  1.12201E-002	  8.30699E-003	  1.37228E-002	  3.44805E-003	  7.79880E-003	  2.28236E-002	
  4.09280E+001	  8.09838E-003	  7.20364E-003	  1.32552E-002	 -1.60797E-003	  1.88624E-002	  2.77866E-003	
  4.50240E+001	  6.49382E-003	  9.68897E-003	  1.50290E-002	  5.23589E-003	 -2.65684E-003	  5.17206E-003	
  4.91200E+001	  3.85540E-003	  3.14300E-003	  9.61687E-003	  3.29559E-003	 -6.89251E-003	  1.01141E-002	
  5.32160E+001	  5.51968E-004	 -4.35840E-003	  1.40750E-003	  9.63598E-003	  1.55608E-003	 -5.48133E-003	
  5.73120E+001	  1.24358E-003	  4.60869E-003	 -4.49550E-003	  7.74808E-003	 -2.61260E-003	  9.69231E-004	
  6.14080E+001	  5.09688E-003	  7.36339E-003	  1.25263E-002	  1.02908E-002	 -7.34973E-003	  2.65371E-003	
  6.55040E+001	  5.73048E-003	  1.08963E-002	  6.78202E-003	  3.97435E-003	 -9.15119E-004	  7.91486E-003	
  7.36960E+001	  6.60808E-003	  3.64076E-003	  6.78695E-003	  8.17642E-003	  9.46772E-003	  4.96855E-003	
  8.18880E+001	  3.75543E-003	  1.02130E-002	  1.31629E-002	  8.49731E-003	  3.02707E-003	 -1.61232E-002	
  9.00800E+001	 -1.77055E-003	  4.95611E-003	 -3.17265E-003	  2.82088E-003	 -6.88925E-003	 -6.56787E-003	
  9.82720E+001	  7.45729E-003	  7.85481E-003	  6.55690E-003	  1.06483E-002	  5.63091E-003	  6.59555E-003	
  1.06464E+002	  4.82141E-003	  4.27447E-003	  5.10033E-003	  5.26046E-003	 -2.28812E-003	  1.17599E-002	
  1.14656E+002	  3.48944E-003	  1.24756E-002	 -1.39042E-003	  6.51118E-003	 -7.72034E-004	  6.22905E-004	
  1.22848E+002	  2.11803E-003	  8.53965E-003	  2.65796E-003	  6.68118E-003	  1.61626E-003	 -8.90488E-003	
  1.31040E+002	  6.28060E-003	  9.23743E-003	  2.62513E-003	  3.32772E-003	  3.42792E-003	  1.27848E-002	
  1.47424E+002	  4.92309E-003	  8.40488E-003	  4.56356E-003	  1.42266E-002	  2.24884E-003	 -4.82845E-003	
  1.63808E+002	  3.29024E-003	  2.48915E-003	  9.62610E-004	  1.88094E-003	  4.68009E-003	  6.43842E-003	
  1.80192E+002	  3.89019E-003	  5.59514E-003	  1.19101E-003	  4.82582E-003	  8.80183E-003	 -9.62834E-004	
  1.96576E+002	  6.07003E-003	  5.60573E-003	  2.51917E-003	  1.63466E-003	  1.08459E-002	  9.74476E-003	
  2.12960E+002	  5.59511E-003	  8.16539E-003	  4.85505E-003	  2.47193E-003	  1.52192E-002	 -2.73605E-003	
  2.29344E+002	  5.99415E-003	  8.61421E-003	  4.16835E-003	  4.87763E-003	  8.08011E-003	  4.23044E-003	
