ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"15:19:45"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	      13.46968
MeanCR1 [kHz]   :	      63.82358

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  13.463"	" 2,  13.727"	" 3,  13.476"	" 4,  13.510"	" 5,  13.687"	" 6,  13.470"	
  1.02400E+000	  3.70645E-002	  3.72351E-002	  3.70930E-002	  3.50416E-002	  3.69368E-002	  3.67606E-002	  3.93202E-002	
  1.12640E+000	  3.48987E-002	  3.48030E-002	  3.52198E-002	  3.40849E-002	  3.33956E-002	  3.56790E-002	  3.62101E-002	
  1.22880E+000	  3.35260E-002	  3.27955E-002	  3.43141E-002	  3.14392E-002	  3.38119E-002	  3.43283E-002	  3.44670E-002	
  1.33120E+000	  3.13557E-002	  3.11869E-002	  3.05299E-002	  2.90890E-002	  3.11444E-002	  3.26511E-002	  3.35326E-002	
  1.43360E+000	  2.99574E-002	  2.93153E-002	  3.14570E-002	  2.88235E-002	  2.76652E-002	  3.10889E-002	  3.13944E-002	
  1.53600E+000	  2.89401E-002	  2.90941E-002	  2.86501E-002	  2.70448E-002	  2.68428E-002	  3.04700E-002	  3.15390E-002	
  1.63840E+000	  2.74779E-002	  2.78527E-002	  2.74478E-002	  2.42406E-002	  2.68345E-002	  2.89450E-002	  2.95465E-002	
  1.84320E+000	  2.49350E-002	  2.47637E-002	  2.53157E-002	  2.24971E-002	  2.44902E-002	  2.54514E-002	  2.70920E-002	
  2.04800E+000	  2.31369E-002	  2.30341E-002	  2.32367E-002	  2.12490E-002	  2.26638E-002	  2.28543E-002	  2.57835E-002	
  2.25280E+000	  2.14383E-002	  2.14916E-002	  2.06613E-002	  1.98331E-002	  2.06118E-002	  2.24159E-002	  2.36159E-002	
  2.45760E+000	  1.97822E-002	  2.05716E-002	  1.90389E-002	  1.82850E-002	  1.73661E-002	  2.17390E-002	  2.16926E-002	
  2.66240E+000	  1.82705E-002	  1.77165E-002	  1.86277E-002	  1.64347E-002	  1.75112E-002	  1.92989E-002	  2.00340E-002	
  2.86720E+000	  1.71778E-002	  1.68898E-002	  1.71457E-002	  1.52709E-002	  1.70447E-002	  1.70792E-002	  1.96367E-002	
  3.07200E+000	  1.69806E-002	  1.76760E-002	  1.61720E-002	  1.55340E-002	  1.62463E-002	  1.68424E-002	  1.94126E-002	
  3.22560E+000	  1.68326E-002	  1.82657E-002	  1.54416E-002	  1.57314E-002	  1.56475E-002	  1.66648E-002	  1.92445E-002	
  3.63520E+000	  1.52360E-002	  1.65430E-002	  1.37262E-002	  1.39929E-002	  1.48548E-002	  1.53875E-002	  1.69118E-002	
  4.04480E+000	  1.35097E-002	  1.48055E-002	  1.22200E-002	  1.17870E-002	  1.43259E-002	  1.43097E-002	  1.36105E-002	
  4.45440E+000	  1.23077E-002	  1.30301E-002	  1.16057E-002	  1.13267E-002	  1.25372E-002	  1.39984E-002	  1.13481E-002	
  4.86400E+000	  1.11993E-002	  1.23393E-002	  9.76960E-003	  1.03669E-002	  1.22825E-002	  1.20902E-002	  1.03473E-002	
  5.27360E+000	  1.03912E-002	  1.08803E-002	  9.52257E-003	  8.75561E-003	  1.07147E-002	  1.09253E-002	  1.15489E-002	
  5.68320E+000	  9.98974E-003	  9.71686E-003	  8.63456E-003	  8.48094E-003	  1.01905E-002	  1.14258E-002	  1.14898E-002	
  6.09280E+000	  9.17128E-003	  9.26673E-003	  7.93203E-003	  7.18623E-003	  8.16031E-003	  1.03588E-002	  1.21236E-002	
  6.50240E+000	  8.75048E-003	  8.89377E-003	  7.08402E-003	  7.06516E-003	  8.15588E-003	  9.85792E-003	  1.14461E-002	
  7.32160E+000	  7.39783E-003	  7.71042E-003	  6.31911E-003	  6.70927E-003	  7.27900E-003	  7.96949E-003	  8.39966E-003	
  8.14080E+000	  6.39021E-003	  7.46214E-003	  5.16013E-003	  6.23593E-003	  5.12232E-003	  7.52949E-003	  6.83125E-003	
  8.96000E+000	  5.83807E-003	  7.25084E-003	  4.11063E-003	  6.24312E-003	  4.91433E-003	  5.75010E-003	  6.75942E-003	
  9.77920E+000	  5.17954E-003	  6.67449E-003	  3.59984E-003	  5.73471E-003	  3.66080E-003	  5.71935E-003	  5.68802E-003	
  1.05984E+001	  4.99763E-003	  7.43504E-003	  3.00829E-003	  5.28684E-003	  3.89225E-003	  5.59278E-003	  4.77060E-003	
  1.14176E+001	  4.51428E-003	  6.74474E-003	  3.18184E-003	  5.33064E-003	  3.48240E-003	  4.35858E-003	  3.98749E-003	
  1.22368E+001	  4.17541E-003	  7.32224E-003	  2.07841E-003	  4.05593E-003	  3.66595E-003	  5.13871E-003	  2.79120E-003	
  1.30560E+001	  3.85066E-003	  6.61069E-003	  2.06399E-003	  2.63714E-003	  4.08438E-003	  4.79879E-003	  2.90895E-003	
  1.46944E+001	  3.57965E-003	  5.30561E-003	  2.46524E-003	  2.01795E-003	  4.85460E-003	  3.93380E-003	  2.90070E-003	
  1.63328E+001	  3.46641E-003	  4.62545E-003	  3.13546E-003	  2.21948E-003	  3.93112E-003	  3.24531E-003	  3.64165E-003	
  1.79712E+001	  3.25986E-003	  4.12075E-003	  3.39511E-003	  2.36117E-003	  2.73761E-003	  3.14784E-003	  3.79669E-003	
  1.96096E+001	  2.73119E-003	  3.85580E-003	  2.13065E-003	  2.72518E-003	  2.44605E-003	  2.28409E-003	  2.94535E-003	
  2.12480E+001	  2.38791E-003	  3.10964E-003	  2.44366E-003	  2.89464E-003	  1.71305E-003	  1.69542E-003	  2.47105E-003	
  2.28864E+001	  2.17027E-003	  3.47377E-003	  1.14676E-003	  2.13726E-003	  1.14120E-003	  2.80961E-003	  2.31305E-003	
  2.45248E+001	  2.14861E-003	  3.43047E-003	  1.00621E-003	  2.93532E-003	  8.65507E-004	  3.20792E-003	  1.44623E-003	
  2.61632E+001	  2.02959E-003	  3.17771E-003	  8.21555E-004	  3.54547E-003	  7.45841E-004	  2.49857E-003	  1.38841E-003	
  2.94400E+001	  2.21958E-003	  1.83956E-003	  1.55635E-003	  3.02599E-003	  2.51318E-003	  2.38108E-003	  2.00130E-003	
  3.27168E+001	  1.53950E-003	  1.38363E-003	  1.59177E-003	  1.85423E-003	  1.71788E-003	  7.21872E-004	  1.96765E-003	
  3.59936E+001	  1.44212E-003	  2.26059E-003	  1.15303E-003	  6.16953E-004	  2.15693E-003	  1.17779E-003	  1.28743E-003	
  3.92704E+001	  1.61636E-003	  2.14395E-003	 -3.39261E-004	  1.88163E-003	  2.60533E-003	  1.64492E-003	  1.76157E-003	
  4.25472E+001	  1.48602E-003	  1.20829E-003	  1.08999E-004	  8.90262E-004	  2.95494E-003	  1.44541E-003	  2.30822E-003	
  4.58240E+001	  1.55245E-003	  2.68349E-003	  4.17832E-004	  1.03073E-003	  2.01340E-003	  1.06469E-003	  2.10454E-003	
  4.91008E+001	  9.00078E-004	  2.63414E-003	 -1.23850E-003	  7.13047E-004	  1.44429E-003	  2.79955E-004	  1.56753E-003	
  5.23776E+001	  8.68723E-004	  2.47968E-003	 -6.54825E-004	  2.92809E-004	  6.62055E-004	  8.46552E-004	  1.58607E-003	
  5.89312E+001	  9.11134E-004	  1.97992E-003	 -1.06343E-003	 -5.44638E-005	  6.51018E-004	  2.67177E-003	  1.28198E-003	
  6.54848E+001	  1.13732E-003	  1.78331E-003	  5.41235E-004	  3.16323E-004	  1.25645E-003	  2.17891E-003	  7.47681E-004	
  7.20384E+001	  9.08933E-004	  7.95504E-004	  3.47899E-004	  8.34348E-004	  7.28766E-004	  1.55570E-003	  1.19138E-003	
  7.85920E+001	  5.83193E-004	  6.78789E-004	  2.59037E-004	 -8.67247E-004	  1.15581E-003	  3.77222E-004	  1.89554E-003	
  8.51456E+001	  9.55586E-004	  1.11016E-003	  6.46956E-004	 -6.64111E-004	  8.03270E-004	  2.00594E-003	  1.83130E-003	
  9.16992E+001	  8.78898E-004	  1.37055E-003	  1.02425E-003	  3.06057E-005	  1.72908E-003	  1.01480E-003	  1.04107E-004	
  9.82528E+001	  7.77230E-004	  1.18373E-003	  1.57019E-003	  4.42169E-004	  7.22093E-004	  1.09932E-003	 -3.54128E-004	
  1.04806E+002	  7.69949E-004	  1.97978E-003	  1.39174E-003	 -5.61809E-004	  5.27249E-004	  1.49923E-003	 -2.16486E-004	
  1.17914E+002	  6.15015E-004	  1.10291E-003	  9.87444E-004	 -4.94438E-004	  9.81565E-004	  1.33644E-003	 -2.23827E-004	
  1.31021E+002	  6.66312E-004	  7.63988E-004	  1.71023E-003	 -4.22205E-004	  8.82982E-004	  1.14457E-003	 -8.16928E-005	
  1.44128E+002	  5.48822E-004	  9.26130E-005	  4.08845E-004	 -2.71869E-004	  5.79176E-004	  1.36992E-003	  1.11425E-003	
  1.57235E+002	  3.26398E-004	  3.18381E-004	 -1.04745E-003	  1.14140E-004	  6.38366E-004	  1.16687E-003	  7.68076E-004	
  1.70342E+002	  5.40616E-004	  2.60328E-004	 -9.08913E-004	  5.59418E-004	  1.07774E-003	  1.68635E-003	  5.68780E-004	
  1.83450E+002	 -7.85043E-005	 -5.74824E-004	 -1.54327E-004	 -6.46047E-004	  1.12384E-003	  4.37107E-004	 -6.56772E-004	
  1.96557E+002	  1.84671E-004	 -2.14537E-005	  2.92749E-004	  3.02619E-004	  7.11932E-004	  1.33698E-003	 -1.51480E-003	
  2.09664E+002	 -1.05761E-004	  1.43391E-005	 -5.01713E-004	 -2.69695E-005	  3.24798E-005	  7.05553E-004	 -8.58256E-004	
  2.35878E+002	  2.39012E-004	  6.67358E-004	  1.74323E-004	 -1.98853E-004	  3.87387E-004	 -4.95714E-005	  4.53429E-004	
  2.62093E+002	  3.72386E-004	  8.72289E-005	  2.66117E-004	 -3.74734E-004	  9.85608E-004	  1.49739E-003	 -2.27289E-004	
  2.88307E+002	 -2.30855E-004	 -3.42694E-004	 -1.34203E-003	  6.04869E-004	 -1.01046E-004	 -7.55125E-004	  5.50899E-004	
  3.14522E+002	  6.08128E-004	  9.97878E-004	 -3.08201E-005	  8.04885E-004	  6.50329E-004	  6.17977E-004	  6.08520E-004	
  3.40736E+002	  4.09981E-004	  1.12735E-003	  1.74459E-004	  3.29140E-004	  8.45531E-004	 -2.42338E-004	  2.25745E-004	
  3.66950E+002	  7.70321E-005	  8.61389E-004	 -3.21432E-004	  1.14676E-003	  7.72830E-006	 -8.52384E-004	 -3.79866E-004	
  3.93165E+002	 -2.02334E-004	  6.35779E-004	 -4.21078E-004	  1.71314E-004	 -1.05126E-004	 -1.18378E-003	 -3.11113E-004	
  4.19379E+002	 -1.44723E-004	  2.63561E-004	 -1.54916E-004	 -3.96792E-004	  4.37113E-004	 -5.67825E-004	 -4.49480E-004	
  4.71808E+002	 -1.24993E-004	 -5.71759E-004	 -3.11586E-004	 -8.82088E-005	  6.58364E-004	  8.49744E-005	 -5.21742E-004	
  5.24237E+002	 -1.55366E-004	 -4.01823E-004	 -5.07902E-004	 -1.69899E-004	  1.52757E-004	 -5.88590E-004	  5.83260E-004	
  5.76666E+002	  1.24943E-004	 -5.26363E-005	  1.22041E-004	 -5.28465E-005	  6.73239E-004	  2.55604E-005	  3.42997E-005	
  6.29094E+002	 -2.97038E-004	 -5.84850E-004	 -4.23812E-004	  3.12527E-004	 -9.90281E-004	 -2.04377E-004	  1.08562E-004	
  6.81523E+002	  2.66429E-004	  6.51613E-005	  8.44091E-004	 -8.25013E-005	 -8.89231E-005	 -1.68744E-004	  1.02949E-003	
  7.33952E+002	  1.49995E-004	 -1.09346E-004	  1.12258E-003	 -4.69066E-005	  1.75203E-004	 -9.54880E-005	 -1.46070E-004	
  7.86381E+002	  3.61148E-005	  4.12606E-004	  1.80995E-004	 -2.94981E-004	 -3.48010E-004	 -9.95609E-005	  3.65639E-004	
  8.38810E+002	  1.50607E-004	 -5.56154E-005	  1.82611E-004	 -6.85807E-004	  8.80329E-004	  2.34597E-004	  3.47530E-004	
  9.43667E+002	  1.78240E-004	  9.39321E-007	 -2.37724E-004	  8.48939E-004	  6.98112E-005	  2.23931E-004	  1.63543E-004	
  1.04852E+003	 -6.72157E-007	  3.35119E-004	  3.81958E-004	  2.08419E-004	 -6.61484E-004	 -1.47197E-004	 -1.20849E-004	
  1.15338E+003	  1.66802E-004	  5.66989E-004	  2.03911E-005	  1.61003E-004	  7.60105E-005	 -8.50723E-004	  1.02714E-003	
  1.25824E+003	  2.51379E-004	  4.63928E-004	  8.43184E-005	  8.17883E-005	  4.44829E-004	  1.46679E-004	  2.86731E-004	
  1.36310E+003	 -1.28607E-004	 -4.94642E-004	 -4.01992E-004	 -7.82114E-005	  4.74613E-004	 -2.95322E-004	  2.39109E-005	
  1.46796E+003	 -1.04710E-004	 -6.98994E-004	  2.87386E-004	 -7.53702E-004	 -5.26202E-005	  8.04443E-004	 -2.14773E-004	
  1.57281E+003	 -2.09957E-004	 -5.58040E-004	 -4.46713E-004	 -2.14926E-004	 -5.15005E-004	  5.62070E-004	 -8.71301E-005	
  1.67767E+003	  2.74952E-005	 -1.70298E-004	  1.31522E-004	  9.74878E-005	 -1.45788E-004	  2.99465E-004	 -4.74176E-005	
  1.88739E+003	  3.02896E-004	  2.95475E-004	  1.78377E-004	  2.10144E-004	 -1.38343E-004	  4.02570E-004	  8.69153E-004	
  2.09710E+003	  8.15659E-005	 -2.89126E-004	  8.57304E-005	  8.71855E-005	  4.66843E-005	  4.20018E-005	  5.16919E-004	
  2.30682E+003	 -1.80200E-004	  1.70555E-004	 -1.49108E-004	 -3.99576E-004	 -3.58677E-004	  2.63421E-005	 -3.70739E-004	
  2.51653E+003	 -7.64474E-005	  5.81478E-004	  5.70795E-005	  1.75099E-005	 -5.24651E-004	 -3.15553E-004	 -2.74547E-004	
