ALV-5000/E-WIN Data
Date :	"10-Jan-11"
Time :	"11:32:28"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      38.69208
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  38.674"	" 2,  38.742"	" 3,  38.762"	" 4,  38.702"	" 5,  38.700"	" 6,  38.692"	
  8.19200E-001	  2.10090E-003	  1.64375E-003	  2.07357E-003	  1.49932E-003	  2.61797E-003	  2.13050E-003	  2.64028E-003	
  9.21600E-001	  1.65648E-003	  1.04655E-003	  2.32023E-003	  1.49342E-003	  1.57379E-003	  2.08672E-003	  1.41814E-003	
  1.02400E+000	  1.57788E-003	  1.12830E-003	  1.91629E-003	  1.68087E-003	  2.00940E-003	  1.14624E-003	  1.58615E-003	
  1.12640E+000	  1.26285E-003	  8.11543E-004	  1.30962E-003	  1.03045E-003	  1.95968E-003	  1.54960E-003	  9.16218E-004	
  1.22880E+000	  1.15981E-003	  1.02925E-003	  1.42847E-003	  1.09070E-003	  1.83884E-003	  2.38153E-004	  1.33345E-003	
  1.33120E+000	  8.22015E-004	  8.77102E-004	  7.62580E-004	  3.21982E-004	  1.27949E-003	  4.96772E-004	  1.19416E-003	
  1.43360E+000	  1.34086E-003	  1.44599E-003	  1.57530E-003	  7.12431E-004	  2.49533E-003	  9.07089E-004	  9.09012E-004	
  1.53600E+000	  1.25449E-003	  4.76742E-004	  2.15186E-003	  8.86373E-004	  1.66960E-003	  1.27279E-003	  1.06955E-003	
  1.63840E+000	  9.71037E-004	  6.84461E-004	  1.62040E-003	  9.91328E-004	  1.12421E-003	  6.48624E-004	  7.57199E-004	
  1.84320E+000	  1.18363E-003	  1.64186E-003	  1.34403E-003	  8.66913E-004	  8.18458E-004	  1.11054E-003	  1.31997E-003	
  2.04800E+000	  1.09842E-003	  1.65007E-003	  1.18723E-003	  7.71076E-004	  6.65763E-004	  1.65169E-003	  6.64665E-004	
  2.25280E+000	  1.11341E-003	  1.38021E-003	  9.34728E-004	  1.09233E-003	  1.39416E-003	  8.04880E-004	  1.07414E-003	
  2.45760E+000	  7.14779E-004	  8.14051E-004	  1.18173E-003	  4.81658E-007	  1.76677E-003	  4.53040E-004	  7.26044E-005	
  2.66240E+000	  7.10712E-004	  5.22441E-004	  5.50180E-004	  4.77245E-004	  1.40985E-003	  2.10265E-004	  1.09429E-003	
  2.86720E+000	  6.57730E-004	  1.23404E-003	  2.90177E-004	  8.78099E-004	  4.53341E-004	  8.09642E-005	  1.00975E-003	
  3.07200E+000	  3.22148E-004	  6.38573E-004	 -2.82033E-004	  1.90657E-004	  6.37855E-004	  6.80588E-004	  6.72467E-005	
  3.22560E+000	  4.22609E-004	  4.84657E-004	 -1.78914E-004	  5.99122E-004	  1.00304E-003	  3.97894E-004	  2.29856E-004	
  3.63520E+000	  5.97360E-004	  4.03024E-004	  8.86366E-004	  7.52710E-004	  7.12463E-004	  4.83949E-004	  3.45644E-004	
  4.04480E+000	  6.08511E-004	  4.86684E-004	  1.04942E-003	  3.26997E-004	  1.29178E-003	  6.95597E-005	  4.26622E-004	
  4.45440E+000	  5.54638E-004	  4.70241E-004	  3.13774E-004	  6.11103E-004	  4.76308E-004	  6.00502E-004	  8.55902E-004	
  4.86400E+000	  3.87824E-004	  3.53750E-005	  5.27027E-004	  5.96083E-005	  1.40452E-004	  7.06443E-004	  8.58036E-004	
  5.27360E+000	  3.50245E-004	  7.19536E-005	  7.02309E-004	  4.13006E-004	  4.78246E-004	  4.05304E-005	  3.95427E-004	
  5.68320E+000	  2.71785E-004	  4.32072E-004	  4.28962E-004	  1.45941E-005	  3.08187E-004	  2.15218E-004	  2.31677E-004	
  6.09280E+000	  4.69819E-004	  5.73824E-004	  7.84077E-004	  5.73911E-004	  4.06839E-005	  3.45194E-004	  5.01222E-004	
  6.50240E+000	  3.93284E-004	  6.40759E-004	  5.81179E-004	  3.50513E-004	  4.75670E-004	  8.83186E-005	  2.23266E-004	
  7.32160E+000	  3.84459E-004	 -6.58205E-005	  2.61711E-004	  1.87069E-004	  4.98900E-004	  8.24342E-004	  6.00551E-004	
  8.14080E+000	  2.87092E-004	  4.38702E-004	  2.63626E-004	  2.80801E-004	  2.98178E-004	  4.27595E-004	  1.36476E-005	
  8.96000E+000	  2.88438E-004	  1.25950E-004	  3.28188E-004	  4.10020E-004	  1.06302E-004	  7.16651E-004	  4.35138E-005	
  9.77920E+000	  2.20912E-004	  2.07284E-004	  2.94302E-005	  8.04341E-005	  4.65629E-004	  2.28602E-004	  3.14094E-004	
  1.05984E+001	  2.86639E-004	  3.14004E-004	  4.00566E-004	  1.62919E-004	  2.77454E-004	  3.29025E-004	  2.35869E-004	
  1.14176E+001	  2.62349E-004	  7.37041E-005	  1.88709E-005	  7.52879E-004	  3.93092E-004	  8.96092E-005	  2.45937E-004	
  1.22368E+001	  1.89493E-004	  2.58933E-004	  2.38905E-004	  3.69806E-004	  5.67280E-005	 -3.11541E-005	  2.43742E-004	
  1.30560E+001	  1.91337E-004	  4.52741E-004	  3.64978E-004	 -1.55569E-006	  2.11368E-004	  6.27447E-005	  5.77472E-005	
  1.46944E+001	  2.53416E-004	  1.74173E-004	  2.49547E-004	  1.60606E-004	  3.45640E-004	  5.14266E-004	  7.62660E-005	
  1.63328E+001	  2.07761E-004	  3.58709E-004	  3.66179E-004	  2.60323E-004	  8.58996E-005	  2.75765E-004	 -1.00307E-004	
  1.79712E+001	  2.44571E-004	  4.53960E-004	  2.64919E-004	  3.96790E-004	  3.58119E-004	 -4.04690E-005	  3.41073E-005	
  1.96096E+001	  3.98121E-004	  4.08063E-004	  3.53796E-004	  6.39625E-004	  3.55579E-004	  1.90137E-004	  4.41528E-004	
  2.12480E+001	  3.07285E-004	  1.87034E-004	  4.22748E-004	  4.09920E-004	  1.93698E-004	  9.03956E-005	  5.39914E-004	
  2.28864E+001	  1.77167E-004	 -3.61543E-005	  1.56797E-004	 -5.01716E-005	  2.64433E-004	  4.54593E-004	  2.73505E-004	
  2.45248E+001	  1.64793E-004	  1.59943E-004	  6.82150E-005	  4.26333E-004	  2.85289E-004	 -2.29528E-005	  7.19279E-005	
